Original Description,Charge Class,Confidence Score,Matches
HC DRUG ABUSE SCREEN,OR / Anesthesia / Recovery Room,0.75,HCHG US ABDOMEN
LORAZEPAM PER 2 MG,Pharmacy,1,LORAZEPAM PER 2 MG
HC IV PUSH SAME DRUG EA ADD,Nursing Services,0.82,HC IV PUSH EA AD SEQ SM DRG ER
HC IV PUSH SEQ EA ADD NEW DRUG,Nursing Services,0.91,HC IV PUSH ADD SEQ NEW DRUG
HC IV INFUSION SEQUENTIAL UP TO 1HR,Nursing Services,0.83,IV INFUSION  ADDL SEQ UP TO 1 HR
CEFAZOLIN IN 50ML ISO-OSMOTIC DEXTROSE 2 GRAM/50 ML PGBK,OR / Anesthesia / Recovery Room,0.72,FLUCONAZOLE 400 MG/200 ML IN SOD. CHLORIDE ISO INTRAVENOUS PIGGYBACK
HC ABDOMEN AP SGL VW,Radiology,0.84,CR ABDOMEN SINGLE AP VIEW
HC SPUTUM CULTURE AND GS,Laboratory,0.75,HC PTT
VECURONIUM 10 MG SOLR,Pharmacy,0.93,VECURONIUM 10MG SOLR 1 EACH
HC MANUAL ID GRAM STAIN,Respiratory Therapy,0.77,HB MEDICAL GAS ADMINISTRATION
ETOMIDATE 2 MG/ML SOLN,Pharmacy,1,ETOMIDATE 2 MG/ML SOLN
HC Q GUIDE ELECRODE INSERT TOOL,Laboratory,0.74,HC IRON
HC ED CRITICAL CARE - 1ST 30-74 MIN,Other,0.87,HC ED CRITICAL CARE FIRST 30 MINS
HC ED PROCEDURE LEVEL 1,Pharmacy,0.77,HC PRE ENDO SCHEDULE DOS LEVEL 1
HC TROPONIN,Laboratory,1,HC TROPONIN
MIDAZOLAM PER 1 MG,Pharmacy,0.82,MIDAZOLAM 50MG VL
LIDOCAINE 10 MG/ML (1 %) SOLN,Pharmacy,0.85,LIDOCAINE 1 % SOLN
DEXMEDETOMIDINE 200 MCG/2 ML SOLN 2 ML VIAL,Pharmacy,1,DEXMEDETOMIDINE 200 MCG/2ML SOLN 2 ML VIAL
HC GLIDED SHEATH 6 FR,Supply,0.72,HC GUIDEWIRE PTCA
VERAPAMIL 2.5 MG/ML SOLN,Pharmacy,0.92,VERAPAMIL 2.5 MG/ML SOLN 2 ML VIAL
HC ANESTHESIA 0-30 MIN.,OR / Anesthesia / Recovery Room,0.77,ANES FIRST 30 MIN
HC CATHETER DIAGNOSTIC EP,Supply,0.84,HC DIAGNOSTIC CATHETER
HC MANUAL ID STAPHYLOCOCCUS,Laboratory,0.71,HCT
KETAMINE 10 MG/ML SOLN,Pharmacy,1,KETAMINE 10 MG/ML SOLN
AMIODARONE 50 MG/ML SOLN 3 ML VIAL,Pharmacy,0.97,AMIODARONE 50 MG/ML SOLN 18 ML VIAL
HC URINE CULTURE,Laboratory,0.82,HC CULTURE URINE
SODIUM CHLORIDE 0.9 % 0.9 % PGBK 50 ML BAG,Diluent / Flush / Irrigant,0.93,SODIUM CHLORIDE 0.9 % PGBK 100 ML BAG
LISINOPRIL 5 MG TAB,Pharmacy,1,LISINOPRIL 5 MG TAB
HC ADULT VENTILATOR INITIAL,Cardiology,0.73,HC CARD REHAB EVALUATION INPT
CALCIUM GLUCONATE PER 10 ML,Pharmacy,1,CALCIUM GLUCONATE PER 10 ML
HC COMP EP EVAL INITIAL RA RV HIS,PT / OT / Speech Therapy,0.74,HC OCCUPATIONAL THERAPY EVAL TIER I
DEXTROSE PER 10 ML,Diluent / Flush / Irrigant,0.94,DEXTROSE PER 500 ML
WHITE PETROLATUM-MINERAL OIL 83-15 % OINT 3.5 G TUBE,OR / Anesthesia / Recovery Room,0.87,WHITE PETROLATUM MINERAL OIL 83% 15 % EYE OINTMENT
HC 5FR DUAL 3CG POWER BARD CATHETER,Blood Products,0.7,HC BB RBC LEUKO REDUCED
HYDROMORPHONE (PF) 1 MG/ML SYRG,Pharmacy,0.89,HYDROMORPHONE 1 MG/ML SOLN
HC IV PUSH SINGLE / INITIAL,Capital Equipment,0.74,PUMP  IV SINGL LINE
HC PT MOBILITY GOAL,Laboratory,0.77,HC PTT
HC INVISION PLUS CAPS,OR / Anesthesia / Recovery Room,0.74,HCHG MISC OR SUPPLIES
METOCLOPRAMIDE PER 10 MG,Pharmacy,0.9,METOCLPRAMIDE TA 10MG
MAGNESIUM SULFATE PER 500 MG MAGNESIUM,Pharmacy,0.91,MAGNESIUM SULFATE PER 500 MG
HC CULTURE BLOOD ROUTINE,Laboratory,0.89,HC CULTURE BLOOD
HC SP SWALLOWING EVALUATION,PT / OT / Speech Therapy,0.81,HB - SWALLOW EVALUATION (MOD GN)
HC INS PICC WO SQ PORT PUMP>5YRS,Procedure,0.77,PICC LINE PLC WO SO PORT >5 YRS
HC INS OR REPL SICD W/ SQ ELECTRODE,Procedure,0.75,HC INS/REPL ICD ELECT & INS GEN
POTASSIUM CHLORIDE 10 MEQ TBER,Pharmacy,0.94,POTASSIUM CHLORIDE 10 ME
THIAMINE PER 100 MG,Pharmacy,0.86,THIAMINE 100 MG TABS
LORAZEPAM 0.5 MG TAB,Pharmacy,0.9,CLONAZEPAM 0.5 MG TABLET
LEVETRIRACETAM PER 10 MG,Pharmacy,0.83,LEVETIRACETAM 100 MG/ML SO
HC PT GAIT TRAINING 15MIN,PT / OT / Speech Therapy,0.9,GAIT TRAINING-15 MIN
HALOPERIDOL LACTATE PER 5 MG,Pharmacy,0.88,HALOPERIDOL LACTATE 5 MG/ML SOLN
DIAZEPAM 5 MG TAB,OR / Anesthesia / Recovery Room,0.94,DIAZEPAM 5 MG TABLET
HC EVALUATION PT,PT / OT / Speech Therapy,0.95,EVALUATION PT
PHENYLEPHRINE IN 0.9% NACL(PF) 20 MG/250 ML (80 MCG/ML) SOLN,Pharmacy,0.75,PHENYLEPHRINE INJ
HC TR BAND,Laboratory,0.79,HCT
HC SP COGNITIVE PERFORMANCE TESTING,OR / Anesthesia / Recovery Room,0.77,HCHG C REACTIVE PROTEIN
DESMOPRESSIN PER 1 MCG,Pharmacy,0.74,FUROSEMIDE PER 20 MG
MORPHINE PER 10 MG,Pharmacy,0.89,MORPHINE UP TO 10MG
HC PTCA GUIDE CATH,Laboratory,0.76,HC PT
HC ABO GROUP,Laboratory,0.93,ABO GROUP
LIDOCAINE (PF) 10 MG/ML (1 %) SOLN 30 ML VIAL,Pharmacy,0.93,LIDOCAINE (PF) 20 MG/ML(2%) SOLN 5 ML VIAL
HC C. DIFFICILE BY PCR,Laboratory,0.83,HC C DIFF BY PCR
SODIUM BICARBONATE 8.4 % (1 MEQ/ML) SYRG 50 ML SYRINGE,Pharmacy,0.86,SODIUM BICARBONATE 1 MEQ/ML SOLN
HC ANESTHESIA EACH ADD'L 1 MIN,OR / Anesthesia / Recovery Room,0.81,ANESTHESIA EA MIN
SODIUM CHLORIDE 0.9% 0.9 % SOLN,Diluent / Flush / Irrigant,1,SODIUM CHLORIDE 0.9% 0.9% SOLN
HC LHC CORS,OR / Anesthesia / Recovery Room,0.79,HCHG CORTISOL
HC PT THERAPEUTIC EXERCISE 15MIN,PT / OT / Speech Therapy,0.84,OT THERAPEUTIC EXERCISE 15 MIN
HC Q-TRAK ELECTRODE,Laboratory,0.74,HCT AUTO
HC SQ-RX PULSE GENERATOR,Supply,0.75,HC PRESSURE MONITOR CHANGE
LABETALOL 20 MG/4 ML (5 MG/ML) SYRG,Pharmacy,0.88,LABETALOL 20MG/4ML
PHENYLEPHRINE IN 0.9% NACL(PF) 0.8 MG/10 ML (80 MCG/ML) SYRG,Pharmacy,0.78,PHENYLEPHRINE 1 000MCG/10ML(PREFILL SYR)
HC SUSCEPTIBILITY-VITEK,Laboratory,0.85,HC SUSCEPTIBILITY MIC PER PLATE
HC ECHO COMPL W DPLR AND CLR FLW WO CONT,Cardiology,0.71,HC ECHO TTE W DPLR COMPLT W CONTRST
HC SP SWALLOWING THERAPY,PT / OT / Speech Therapy,0.75,SWALLOW / FEED THERAPY 60
"HC CBC W/DIFFERENTIAL, AUTO",Laboratory,0.86,WBC DIFFERENTIAL AUTOMATED
HC U/S GUID PICC INSERT-NO REPORT,Supply,0.73,GLYCERIN (CHILD) RECTAL SUPPOSITORY
HC SHEATH SHORT,Laboratory,0.81,HC HEMATOCRIT
HC BLOOD TYPING RH(D),Laboratory,1,HC BLOOD TYPING RH D
HC ED PROCEDURE LEVEL 2,Pharmacy,0.73,HC PRE ENDO SCHEDULE DOS LEVEL 1
HC LEVEL 1 RECOV/DSCHG 121-150 MINS,Room and Board,0.71,HC LEVEL-1 ICU
HC CT HEAD OR BRAIN WO CONT,Radiology,0.88,CT HEAD OR BRAIN W/O CONTRAST
GLYCOPYRROLATE 0.2 MG/ML SOLN,Pharmacy,1,GLYCOPYRROLATE 0.2 MG/ML SOLN
HC IV INFUSION INITIAL UP TO 1HR,Nursing Services,0.85,HC IV INFUSION INITIAL WITH MED 1 ST HR ED
HC PT MOBILITY CURRENT,PT / OT / Speech Therapy,0.83,HC MOBILITY CURRENT
HC GUIDEWIRE EXCHANGE,Supply,0.85,HC GUIDEWIRE PTCA
HC URINALYSIS,Monitoring,0.87,URINALYSIS POC
HC CT THORAX W CONT,Supply,0.76,HC CATH TRAY ONLY
HC CATH/DIAG,Supply,0.8,HC CATH DIAG INTERVENT A
"TC POTASSIUM (K),POCT",Laboratory,0.93,POTASSIUM (K) POCT
TC RH TYPE,Laboratory,0.86,RH TYPE
"TC VIRAL CULTURE, INOCULAT",Supply,0.74,CIRCUIT VENTILATOR
"TC CULTURE - STOOL, ADDITI",Laboratory,0.74,HC CULTURE BLOOD
CHLORAL HYDRATE 50 MG/ML S,Pharmacy,0.79,CHLOROTHIAZIDE 28 MG/ML SO
DEXTROSE 10 % WITH POTASSI,Pharmacy,0.83,DEXTROSE 10% SOLP
"TC LACTATE (LACTIC ACID),P",Monitoring,0.83,LACTATE (LACTIC ACID) POCT
MICROFIBRILLAR COLLAGEN HE,OR / Anesthesia / Recovery Room,0.89,MICROFIBRILLAR COLLAGEN HEMOSTAT POWDER
OCULAR LUBRICANT OINT 3.5,Supply,0.82,OCULAR LUBRICANT PF 0.9ML
"TC KIT, MIC-KEY FEEDING (1",Supply,0.7,BAG NUTRITION FEEDING SET
TC ABO TYPE,Laboratory,0.83,ABO TYPE
PIPERACILLIN/TAZOBACTAM 3,Pharmacy,0.99,PIPERACILLIN / TAZOBACTAM
ACETAMINOPHEN 80 MG/2.5 ML,Pharmacy,0.93,ACETAMINOPHEN 160 MG/5 ML
TC BILIRUBIN-CONJUGATED (B,Laboratory,0.87,BILIRUBIN CONJUGATED
MIDAZOLAM 1 MG/ML INJ 2 ML,Pharmacy,0.9,MIDAZOLAM 5MG/5ML INJ
NITRIC OXIDE GAS 1 EACH,Plan Benefit,0.92,NITRIC OXIDE GAS-EACH HOUR
TC PT REASSESSMENT 30MIN,OR / Anesthesia / Recovery Room,0.73,ANESTHESIA TIME FIRST 30 MIN
EM VIRUS DETECTION,Respiratory Therapy,0.79,MDI INSTRUCTION
TC PICC LINE PLACEMENT UND,Laboratory,0.74,CALCIUM IONIZED POC ACUTE PANEL A
TC ANES MATL GEN 1HR(INITI,Laboratory,0.73,SEDIMENTATION RAT
TC HEMOGLOBIN,Laboratory,0.94,HEMOGLOBIN
TC PT REASSESSMENT 15MIN,Pharmacy,0.75,ERTAPENEM 1 GM INJ
TC O.R. TIME ADDL 0.5 HR,Supply,0.69,TB ENDOTRACH
CEFOTAXIME 40 MG/ML INJ 25,Pharmacy,0.82,CEFOTAXIME 100 MG/ML SOLR
TC ALKALINE PHOSPHATASE,Laboratory,0.97,ALKALINE PHOSPHATASE
CYCLOPENTOLATE/PHENYLEPHRI,Pharmacy,0.99,CYCLOPENTOLATE-PHENYLEPHRI
"TC DOPPLER,FOLLOW-UP/LIMIT",Laboratory,0.75,COPPER
SODIUM CITRATE/CITRIC ACID,Monitoring,0.76,SODIUM I
"TC TTE,2D +/- M-MODE,FOLLO",Laboratory,0.7,TC LACTATE WHOLE BLOOD
"TC TRAY, LUMBAR PUNCTURE P",Supply,0.95,TRAY LUMBAR PUNCTURE
"TC CATH, PER-Q TRAY 2.0FR",Supply,0.72,TROCAR CATHETER
TC HEMATOCRIT,Monitoring,0.92,POC HEMATOCRIT
DEXTROSE 25 % WITH SODIUM,Diluent / Flush / Irrigant,0.83,DEXTROSE 5%
"TC ECHOCARDIOGRAPH,TRANSTH",Cardiology,0.77,ECHOCARDIOGRAM
INFLUENZA SEASONAL IIV4 SU,Laboratory,0.79,INFLUENZA A  AG  IF
TC OT REASSESSMENT 45MIN,Supply,0.71,SET SECONDARY 40IN
PROPARACAINE 0.5 % SOLN 15,Pharmacy,0.85,PROPARACAINE HCL 0.5% OPHTH SOLN 15ML
TC AUDITORY BRAINSTEM RESP,Supply,0.72,INFANT TRAINER SET
TC O.R. TIME INITIAL 0.5 H,Respiratory Therapy,0.69,PEP INITIAL
TC SPECIAL EYE EXAM,Monitoring,0.7,POC-LACTATE-GEM
TC SPECIMEN HANDLING CHARG,Supply,0.72,CENTRAL LINE DRESSING CHANGE
TC C-REACTIVE PROTEIN,Laboratory,0.84,C - REACTIVE PROTEIN
TC OT REASSESSMENT 30MIN,OR / Anesthesia / Recovery Room,0.73,ANESTHESIA TIME FIRST 30 MIN
"TC COLON, CONTRAST ENEMA W",Laboratory,0.81,H CYTP CONCENTRATION SMEAR
MULTIVITAMINS WITH IRON 1,Pharmacy,0.86,MULTIVITAMIN WITH MINERALS
ACETAMINOPHEN 80 MG SUPP 6,Pharmacy,0.98,ACETAMINOPHEN 80 MG SUPP
TC SHIGA TOXIN 2 INFECTIOU,Cardiology,0.71,HC STIM HRT PACING POST IV INF
ALTEPLASE 1 MG/ML INJ 1 EA,Pharmacy,0.9,ALTEPLASE 1 MG INJ
"TC SENSITIVITY - ROUTINE,",Pharmacy,0.73,ISOTRETINOIN (
TC CARDIOPULMONARY RESUSCI,Laboratory,0.74,HC URINALYSIS AUTO W MICRO
MIDAZOLAM 1 MG/ML SOLN 2 M,Pharmacy,0.97,MIDAZOLAM 1 MG/ML SOLN
"TC CULTURE - STOOL, BASIC",Monitoring,0.75,GLUCOSE BLOOD STAT ICU
TC TRIGLYCERIDE,Laboratory,0.87,TRIGLYCERIDE
TC OT EVALUATION 30 MINUTE,PT / OT / Speech Therapy,0.74,OT EVALUATION
"TC ABDOMEN, SINGLE ANTEROP",Radiology,0.84,CR ABDOMEN SINGLE AP VIEW
TC CREATININE - SERUM,Laboratory,0.8,CREATININE
"TC IONIZED CALCIUM,POCT",Laboratory,0.9,HC IONIZED CALCIUM
DEXTROSE 10 % WITH HEPARIN,Diluent / Flush / Irrigant,0.82,DEXTROSE 5% IN WATER 100ML
TC RED BLOOD CELLS (PARTIA,Laboratory,0.79,CULTURE BLOOD BACTERIAL
"TC TUBE, FEEDING INDWELL 5",Supply,0.81,TUBE FEEDING SET
TC OT REASSESSMENT 15MIN,PT / OT / Speech Therapy,0.73,THER EX; STR  END  ROM  EA 15 MIN
TC BILIRUBIN-UNCONJUGATED,Laboratory,0.88,BILIRUBIN UNCONJUGATED
DEXAMETHASONE 4 MG/ML INJ,Pharmacy,0.94,DEXAMETHASONE 20MG/5ML INJ
TC BLOOD ADMINISTRATION,Nursing Services,0.97,BLOOD ADMINISTRATION
TC PT EVALUATION 15 MINUTE,Education / Training,0.79,PATIENT EDUC EA 15 MINUTES
CEFAZOLIN 2 G IN NS 100 ML,Pharmacy,0.84,CEFAZOLIN 2G SOLR
TC SCISSOR COLOSTOMY,Respiratory Therapy,0.69,HC RC PROTOCOL ASSESSMENT
HYDROCORTISONE SODIUM SUCC,Pharmacy,0.88,HYDROCORTISONE SODIUM SUCCINATE 100 MG SOLR
TC BARRIER PROTECTION SENS,Supply,0.74,CONTAINER SPECIMEN STERILE O/R
TC ROTAVIRUS AG EIA,Supply,0.72,HC TRAY ANGIO SPECIAL
TC SMEAR - GRAM STAIN ONLY,Laboratory,0.9,HC SMEAR GRAM STAIN
TC SENSITIVITY STUDIES - E,Laboratory,0.72,SENSITIVITY MIC T1 SUSCEPTIBILITY
HAEMOPHILUS B CONJUGATE SO,Pharmacy,0.94,HAEMOPHILUS B CONJUGATE VA
TC CULTURE - URINE QUANT,Laboratory,0.82,HC CULTURE URINE
TC CULTURE - SPUTUM/TA/BRO,Respiratory Therapy,0.69,CPT INTERPUL PERCUS/METANEB SUB
DOPAMINE 1.6 MG/ML INJ 500,Pharmacy,0.8,MORPHINE 4MG/ML INJ
"TC MR, BRAIN W/O CONTRAST",Radiology,0.91,MRI BRAIN W/O CONTRAST
NOROVIRUS PCR,Room and Board,0.73,ROOM PNIC U
TC DIRECT ANTIGLOBULIN TES,Laboratory,0.74,HC INDIRECT ANTI-GLOB
TC NEEDLE PICC INTRO PEELA,Nursing Services,0.72,SPECIMEN COLLECTION FEE
TC ORGANISM IDENTIFICATION,Plan Benefit,0.78,NITRIC OXIDE INHALATION
TC U G I,OR / Anesthesia / Recovery Room,0.7,HCHG SUTR SILK 2 0 SH
HYDROCHLORIC ACID 0.1 N IN,Pharmacy,0.72,HYDROCORTISONE SUCCINATE SODIUM UP TO 100 MG
03606900 BLOOD TYPING ABO,Laboratory,0.86,BLOOD TYPING ABO 1
03608002 ANTIBODY SCREEN,Laboratory,0.88,ANTIBODY SCREEN
03608011 TYPING RH D,Laboratory,0.76,BLD TYPING RH D
03609682 COMPUTER MATCHED UNIT,Radiology,0.7,83298000 - COMPLETE STUDY WITH DEFINITY
HB OT THERAPEUTIC ACTIVITY 15 MIN,PT / OT / Speech Therapy,0.92,PT-THERAPEUTIC ACTIVITY 15 MIN
HB ICU LEVEL 3 SURGICAL,Room and Board,0.74,NICU LEVEL III
LEVETIRACETAM 500 MG TABS 120 EACH BOTTLE,Pharmacy,0.88,LEVETIRACETAM 500MG TABLET
OXYCODONE 5 MG TABS 1 EACH BLISTER,Pharmacy,0.86,OXYCODONE 5 MG TABS
"INJECTION, HEPARIN SODIUM, PER 1000 UNITS",Diluent / Flush / Irrigant,0.76,HEPARIN INJECTION  PER 10 UT
NIMODIPINE 30 MG CAPS 1 EACH BLISTER,Pharmacy,0.76,NIFEDIPINE 10 MG CAPS
CHLORHEXIDINE GLUCONATE 4% LIQD 118 ML BOTTLE,Pharmacy,0.91,CHLORHEXIDINE GLUCONATE 4 % LIQD
HB CELL COUNT CEREBROSPINAL FLUID,Laboratory,0.74,CELL COUNT CSF WITHOUT DIFF
HB NEBULIZER COOL LARGE VOLUME,Blood Products,0.71,RED BLOOD CELLS LEUKO RED
HB D-DIMER,Laboratory,0.92,D DIMER
MAGNESIUM SULFATE 2 GRAM/50 ML INJ 50 ML VIAL,Pharmacy,0.86,MAGNESIUM SULFATE 2 GM/50ML SOLN
"INJECTION, CEFAZOLIN SODIUM, 500 MG",Pharmacy,0.78,INJECTION  LINEZOLID  200M
HB OT SELF-CARE HOME TRAINING EAADDL 15 MIN,PT / OT / Speech Therapy,0.81,HB OT SELF CARE TRAIN EA 15 MIN
BISACODYL 10 MG SUPP 12 EACH BOX,Pharmacy,0.88,BISACODYL 10 MG SUPP
"INJECTION, FENTANYL CITRATE, 0.1 MG",Pharmacy,0.78,FENTANYL CITRATE 0.1 MG
CYCLOBENZAPRINE 10 MG TABS 1 EACH BLISTER,Pharmacy,0.89,CYCLOBENZAPRINE 10 MG TABS
HB TROPONIN I,Laboratory,0.94,HC TROPONIN-I
HB CBC WITH PLT COUNT AND AUTO DIFF,Laboratory,0.79,HC BL COUNT CBC AUTO W/AUTO DIFF
HB 0.9% NACL USP 500ML 2B1323T INJ,Diluent / Flush / Irrigant,0.83,HB 0.9% NACL 250ML 2B1322Q INJ
"INJECTION, ONDANSETRON HYDROCHLORIDE, PER 1 MG",Supply,0.74,INTRODUCER OR SHEATH NON GUIDE NON LASER
PRASUGREL 5 MG TABS 1 EACH BLISTER,Pharmacy,0.7,CAPTOPRIL 25 MG TAB 1 000 EACH BOTTLE
NIMODIPINE 30 MG CAPS 100 EACH BOX,Pharmacy,0.77,NIFEDIPINE 10 MG CAPS
"SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG TABS 1,000 EACH BOTTLE",Pharmacy,0.82,SENNOSIDES - DOCUSATE 8.6 - 50 MG TAB
"HB PHOSPHORUS, INORGANIC, PLASMA OR SERUM",Laboratory,0.84,HC PHOSPHORUS INORGANIC (PHOSPHATE);
LIDOCAINE 4% SOLN 5 ML AMPULE,Pharmacy,0.84,LIDOCAINE 1 % SOLN
HB GLUCOSE CEREBROSPINAL FLUID,Laboratory,0.81,HB GLUCOSE CSF
"HB MAGNESIUM, PLASMA OR SERUM",Laboratory,0.84,MAGNESIUM  SERUM
HB POTASSIUM CHLORIDE .9% 20MEQ,Pharmacy,0.82,POTASSIUM CHLORIDE 2 MEQ/M
HB BASIC METABOLIC PANEL,Laboratory,1,HB BASIC METABOLIC PANEL
POTASSIUM CHLORIDE 20 MEQ TBCR 100 EACH BOTTLE,Pharmacy,0.85,POTASSIUM CHLORIDE 20MEQ TAB S
LACTULOSE 10 GM/15ML SOLN 30 ML CUP,Pharmacy,0.92,LACTULOSE 10 GM/15ML SOLN
HB SALINE NORMAL 1000ML 2B1324,Diluent / Flush / Irrigant,0.78,SOLN IV NSS 1000ML 2B1324
IOPAMIDOL 51% SOLN 50 ML VIAL,Pharmacy,0.85,IOPAMIDOL 41% SOLN
"HB TOTAL PROTEIN, CSF",Laboratory,0.96,HB TOT PROTEIN; CSF
"INJECTION, DEXAMETHASONE SODIUM PHOSPHATE, 1 MG",Supply,0.73,INJECTION CAP
"OMEPRAZOLE 40 MG CPDR 1,000 EACH BOTTLE",Pharmacy,0.98,OMEPRAZOLE 20 MG CPDR 1 000 EACH BOTTLE
"INJ, PROPOFOL 10 MG",Pharmacy,0.89,PROPOFOL 10 MG IV
HB EVAL SPEECH SOUND PRODUCT LANG COMPREHENSION,Laboratory,0.71,HC PHOSPHORUS INORGANIC (PHOSPHATE);
MAGNESIUM HYDROXIDE 400 MG/5ML SUSP 30 ML CUP,Pharmacy,0.94,MAGNESIUM HYDROXIDE 400 MG/5ML SUSP
"HB SELCT CATH VERTBRL/UNILAT W/ANGIO IPSIL,S&I,CAROTID/ANGIO CERV",Laboratory,0.73,CREATININE OTH SRC 90 ORGANIC ACIDS QUALITATIVE UR
HB PT GAIT TRAINING 15 MIN,PT / OT / Speech Therapy,0.9,GAIT TRAINING-15 MIN
HB TRANSCRANIAL DOP STDY COM,Monitoring,0.73,TRANSCUTANEOUS MONIT
HB PT THERAPEUTIC ACTIVITY 15 MIN,PT / OT / Speech Therapy,0.96,PT-THERAPEUTIC ACTIVITY 15 MIN
HB TYPE AND SCREEN AUTOMATED,Laboratory,0.75,RBC SED RATE (AUTOMATED)
HB ADULT PRIVATE,Radiology,0.73,HC XR ABD SGL AP VIEW
"INJECTION, VANCOMYCIN HCL, 500 MG",Pharmacy,0.8,VANCOMYCIN HCI 500 MG
HB CROSSMATCH ELECTRONIC,Laboratory,0.9,CROSSMATCH ELECTRONIC
"HB PREALBUMIN, SERUM",Laboratory,0.76,HC PREALBUMIN
HB FOLLOW-UP ANGIOGRAPHY (AKA HB75898),Laboratory,0.7,BUN
HB CT ANGIO HEAD W/&WO CONTRAST,Radiology,0.85,CT HEAD OR BRAIN W/O CONTRAST
"HB CULTURE, CEREBROSPINAL FLUID",Laboratory,0.76,CULTURE MRSA
EPHEDRINE 50 MG/ML SOLN 1 ML VIAL,Pharmacy,0.84,PAPAVERINE 30 MG/ML SOLN 10 ML VIAL
PHENYLEPHRINE 100 MCG/ML INJ 5 ML VIAL,Pharmacy,0.89,PHENYLEPHRINE 10 MG/ML SOLN 1 ML VIAL
SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG TABS 60 EACH BOTTLE,Pharmacy,0.83,SENNOSIDES - DOCUSATE 8.6 - 50 MG TAB
"INJECTION, HYDRALAZINE HCL, UP TO 20 MG",Pharmacy,0.8,INJECTION  LINEZOLID  200M
HB ECHO EXAM 2D/M-MODE W/COLOR FLOW,Respiratory Therapy,0.69,O2
"HB GRAM STAIN, CSF",Laboratory,0.93,HB GRAM STAIN
HB RECOVERY MODERATE ROUTINE PER 30 MINS,OR / Anesthesia / Recovery Room,0.75,RECOVERY ROOM ADD'L 30MIN
HB PT NEUROMUSCULAR RE-EDUC 15 MIN,PT / OT / Speech Therapy,0.9,HB PT NEUROMUSC RE-EDU EA 15 MIN
HB RECOVERY DEEP SED PER 30 MIN,OR / Anesthesia / Recovery Room,0.74,RECOVERY ROOM 1ST 30MIN
HB PT THERAPEUTIC EXERCISE 15MIN,PT / OT / Speech Therapy,0.91,OT THERAPEUTIC EXERCISE 15 MIN
HB EMBOLIZATION S&I (AKA HB75894),Laboratory,0.67,HB HEMOGLOBIN
HB EMBOLIZATION INTRACRANIAL/SPINAL (AKA HB61624),Laboratory,0.69,ANTIMICROBIAL BREAKPOINT/MIC
"INJECTION, GARAMYCIN, GENTAMICIN, UP TO 80 MG",Supply,0.76,INJECTION CAP INTERMIT
"INJECTION, METHYLNALTREXONE, 0.1 MG",Respiratory Therapy,0.73,INTUBATION ENDOTRACHEAL EMERG
OXYCODONE 5 MG TABS 100 EACH BOX,Pharmacy,0.87,OXYCODONE 5 MG TABS
HB CT HEAD WO CONTRAST,Radiology,1,HB CT HEAD WO CONTRAST
LABETALOL 5 MG/ML SOLN 20 ML VIAL,Pharmacy,0.85,LABETALOL 5 MG/ML INJ 4 ML
ASPIRIN 300 MG SUPP 12 EACH BOX,Pharmacy,0.74,ASPIRIN 325 MG TABS
"INJECTION ABCIXIMAB, 10 MG",Supply,0.78,INJECTION CAP
"TRIMETHOBENZAMIDE HYDROCHLORIDE, 250 MG, ORAL",Monitoring,0.69,HB END TIDAL CO2 MONITORING
"INJECTION, INSULIN, PER 5 UNITS",Supply,0.77,INJECTION CAP INTERMIT
VERAPAMIL 2.5 MG/ML SOLN 2 ML VIAL,Pharmacy,1,VERAPAMIL 2.5 MG/ML SOLN 2 ML VIAL
HB EMERGENCY DEPT VISIT 4,Other,0.82,EMERGENCY VISIT- MODE
"INJECTION, TRIMETHOBENZAMIDE HCL, UP TO 200 MG",Pharmacy,0.79,INJECTION  LINEZOLID  200M
HB SPEECH/LANG TREATMENT INDIVIDUAL,Pharmacy,0.72,HAEMOPHILUS B/TETANUS VACCINE (PRP-T) VL W/DIL
LIDOCAINE 1% SOLN 20 ML VIAL,Pharmacy,0.88,LIDOCAINE 1 % SOLN
HB PARTIAL THROMBOPLASTIN TIME,Laboratory,0.86,PARTIAL THROMBOPLASTIN TI
IOPAMIDOL 76% SOLN 500 ML GLASS CONT,Pharmacy,0.78,IOPAMIDOL 41% SOLN
"INJECTION, MIDAZOLAM HYDROCHLORIDE, PER 1 MG",Pharmacy,0.75,INJECTION  VORICONAZOLE  1
"HB PT, INTERNATIONAL NORMALIZED RATIO",Education / Training,0.73,HB NUTRIENT INTAKE ANALYSIS  LTD
"INJECTION, LEVETIRACETAM, MG",Supply,0.79,INJECTION CAP INTERMIT
"HB VITAMIN D, 25-HYDROXY",Pharmacy,0.96,HC VITAMIN D 25 HYDROXY
DEXAMETHASONE SODIUM PHOSPHATE 20 MG/5ML SOLN ML VIAL,Pharmacy,0.77,DEXAMETHASONE 4 MG/ML SOLN
"HB SEL CATH INTRNL/UNILAT ANGIO IPSILATRL EXTRACRNL,S&I,ANG CERV ARCH (AKA HB36224)",Laboratory,0.68,HCT
HB MODERATE SED > 5 YEARS FIRST 30 MIN SAME PHYS,Laboratory,0.68,HC SERATONIN RELEASE ASSAY
HB VENOUS DUPLEX SCAN BILATERAL,Radiology,0.85,HC VENOUS DUPLEX UNILATERAL
