Original Description,Charge Class,Confidence Score,Matches,Counts
LORAZEPAM 2 MG/ML SYRG,Pharmacy,0.8375,"LORAZEPAM 1:4 0.5 MG/ML SOLN, LORAZEPAM 2 MG/ML CONC, LORAZEPAM 2 MG/ML SOLN, LORAZEPAM 2 MG/ML SOLN 10 ML VIAL, LORAZEPAM PER 2 MG, LORAZEPAM 2 MG/ML INJ, LORAZEPAM 2MG/ML ORAL SOL, LORAZEPAM O/S 2MG/ML UD, DIAZEPAM 5 MG/ML SYRG, LORAZEPAM INJ* 2MG, MORPHINE 2 MG/ML SYRG, LORAZEPAM 2MG INJ",12
CALCIUM CARBONATE-VITAMIN D3 250-125 MG-UNIT TAB,,,,0
MIDAZOLAM 1 MG/ML 1 MG/ML SOLN 2 ML VIAL,Pharmacy,0.8236363636363637,"MIDAZOLAM 1 MG/ML SOLN, MIDAZOLAM 10 MG/2ML SOLN, MIDAZOLAM 2 MG/2ML SOLN, MIDAZOLAM 5 MG/5ML SOLN, MIDAZOLAM 5 MG/ML SOLN, MIDAZOLAM 5 MG/ML SOLN 1 ML VIAL, MIDAZOLAM 5 MG/ML SOLN 10 ML VIAL, MIDAZOLAM 5 MG/ML SOLN 2 M, MIDAZOLAM 2MG/2ML VIAL, MIDAZOLAM 1 MG/ML SOLN 2 ML VIAL, MIDAZOLAM 1MG-MG/ML 2ML VL",11
VORICONAZOLE 200 MG TAB 30 EACH BOTTLE,"Plan Benefit, Pharmacy",,"SILDENAFIL 100 MG TAB 30 EACH BOTTLE, CHLOROTHIAZIDE 250 MG TAB 100 EACH BOTTLE, HB VORICONAZOLE 200MG VIAL, VORICONAZOLE 200 MG TABS",4
VALGANCICLOVIR 50 MG/ML SOLR 18 ML BOTTLE,Pharmacy,0.8500000000000001,"VALGANCICLOVIR 50MG / 1ML ORAL, VALGANCICLOVIR 450 MG TAB, VALGANCICLOVIR 50 MG/ML -",3
HB OPER RM-CMPLX ADDL 1/2 HR,,,,0
IMMUNE GLOBULIN (HUMAN) 10 % SOLN,Pharmacy,0.88,IMMUNE GLOBULIN (HUMAN) IV,1
PILLOW DISP PERSONAL MEDIUM 19,,,,0
HB ECHO TRANTHR 2D W/CTRST CMP W/DOP/CLR FLW,,,,0
ZOLPIDEM 5 MG TAB,Pharmacy,0.87,"AMLODIPINE 5MG TAB, GLIPIZIDE 5 MG TAB, ZOLPIDEM 5 MG TABLET",3
PIPERACILLIN-TAZOBACTAM 4.5 GRAM/100 ML PGBK 100 ML BAG,Pharmacy,0.8274999999999999,"PIPERACILLIN-TAZOBACTAM 3.375 GM/50ML SOLN, PIPERACILLIN-TAZOBACTAM 40, PIPERACILLIN-TAZOBACTAM 4., PIPERACILLIN-TAZOBACTAM 1.125 G IV",4
HB LAB BLD SMEAR W/MAN WBC DIFF,,,,0
SULFAMETHOXAZOLE-TRIMETHOPRIM 200-40 MG/5 ML SUSP,Pharmacy,0.89,SULFAMETHOXAZOLE-TRIMETHOPRIM 80-16 MG/ML SOLN,1
ALPRAZOLAM 0.5 MG TAB 100 EACH BLIST PACK,Pharmacy,0.8,PREGABALIN 50 MG CAP 100 EACH BLIST PACK,1
DARBEPOETIN ALFA-POLYSORBATE 40 MCG/0.4 ML SYRG,,,,0
HB LAB PROTHROMBIN TIME,Laboratory,0.8133333333333335,"HC PROTHROMBIN TIME, PROTHROMBIN TIME 1, HC PROTHROMBIN TIME (PT), HCHG PROTHROMBIN TIME (PT), 65208000 - PROTHROMBIN TIME, PROTHROMBIN TIME",6
VORICONAZOLE 200 MG/5 ML (40 MG/ML) SUSR,Pharmacy,0.81,VORICONAZOLE 200 MG TABS,1
TUBING SUCTION 6MM X 20FT CLEAR,,,,0
VALGANCICLOVIR 450 MG TAB 1 EACH BLIST PACK,Pharmacy,0.8400000000000001,"VALGANCICLOVIR 450 MG TAB, VALGANCICLOVIR 50 MG/ML -",2
HB LAB CONC INFECT AGENTS ANY TYPE,,,,0
FENTANYL PER 0.1 MG,Pharmacy,0.8775,"FENTANYL 0.1MG, FENTANYL CITRATE 0.1MG INJ, FENTANYL CIT 0.1 MG IN, FENTANYL PER 0.1 MG, FENTANY CIT 0.1MGINJ, FENTANYL CITRATE 0.1 MG, FENTANYL CITRATE 0.1 MG INJ, FENTANYL CITRATE PER 0.1 MG",8
CISATRACURIUM 2 MG/ML SOLN 5 ML VIAL,Pharmacy,0.8939999999999999,"ROCURONIUM 10 MG/ML SOLN 5 ML VIAL, ROCURONIUM 10MG/ML SOLN 5 ML VIAL, CISATRACURIUM 2 MG/ML SOLN 10 ML VIAL, CISATRACURIUM 2 MG/ML SOLN 5 ML VIAL, HB CISATRACURIUM 2MG/ML 10ML VL",5
SULFAMETHOXAZOLE-TRIMETHOPRIM 200-40 MG/5 ML SUSP 20 ML PACKAGE,Pharmacy,0.85,SULFAMETHOXAZOLE-TRIMETHOPRIM 80-16 MG/ML SOLN,1
HB LAB SUSCEPTIB MIC PER PLATE,,,,0
TUBE SAMPLING CAP 15ML STERILE,,,,0
HB BRONCHOSCOPY SET UP/ASSIST,,,,0
ZOLPIDEM 5 MG TAB 100 EACH BLIST PACK,Pharmacy,0.84,ZOLPIDEM 5 MG TABLET,1
HB ANESTHESIA 1ST 30 MIN,OR / Anesthesia / Recovery Room,0.82,HB ANES MATERIALS 1ST 15 MIN,1
ACETAMINOPHEN 160 MG/5 ML SUSP,Pharmacy,0.893076923076923,"ACETAMINOPHEN 120 MG SUPP, ACETAMINOPHEN 10 MG/ML SOL, ACETAMINOPHEN 1000MG/100ML INJ, ACETAMINOPHEN 160 MG/5 ML, ACETAMINOPHEN 160 MG/5 ML SUSP, ACETAMINOPHEN 160 MG/5 ML SUSP 2.5 ML SYRINGE, ACETAMINOPHEN 160 MG/5 ML SUSP 3.75 ML SYRINGE, ACETAMINOPHEN 80 MG SUPP, ACETAMINOPHEN 320 MG/ML SO, ACETAMINOPHEN 1000MG/100ML VL, ACETAMINOPHEN 32 MG/ML SUSP, ACETAMINOPHEN 160 MG/5ML SOLN, ACETAMINOPHEN 325MG",13
HB LAB BILIRUBIN DIRECT,Laboratory,0.8475,"BILIRUBIN DIR, HC BILIRUBIN; DIRECT, HCHG BILIRUBIN DIRECT, BILIRUBIN DIRECT",4
HB LAB AG DETECT NOS EIA MULT SO,,,,0
HB XRY CHEST SINGLE VW,Radiology,0.842,"HB - XRAY CHEST SINGLE VIEW FRONTAL, CHEST SINGLE VIEW, HB CHEST SINGLE VIEW FRONT, HB CHEST 1 VIEW, HB CHEST- 2 VIEWS",5
PHENYLEPHRINE IN 0.9% NACL(PF) 0.4 MG/10 ML (40 MCG/ML) SYRG 10 ML SYRINGE,,,,0
DILATOR ENDOSCOPIC CRE 180CM 5.5CM 7.5FR 8-10MM ESOPHAGUS PYLORUS COLON PEBAX STERILE DISPOSABLE ACCEPTS .035IN GUIDEWIRE,,,,0
FENTANYL CITRATE (PF) 100 MCG/2 ML (50 MCG/ML) SYRG,Pharmacy,0.8166666666666668,"FENTANYL CIT 10MCG/ML 1ML NSY, FENTANYL CITRATE 2ML, FENTANYL CITRATE 1 250 MCG/25 ML SPCA",3
HB RBC LEUKOREDUCED IRR EA UN,Blood Products,0.865,"RBC LEUKOREDUCED, RBC LEUKOREDUCED IR",2
ALPRAZOLAM 0.5 MG TAB,,,,0
HB ANESTHESIA EA ADDL 15MIN,OR / Anesthesia / Recovery Room,0.84,"ANESTHESIA EA MIN, HB ANES MATERIALS 1ST 15 MIN, HB ANES MATERIALS ADD'L 15 MIN",3
"SODIUM CHLORIDE 0.9 % 0.9 % SOLN 1,000 ML BAG","Diluent / Flush / Irrigant, Supply, Pharmacy",,"0.9% SODIUM CHLORIDE 0.9 % SOLN, SODIUM CHLORIDE, SODIUM CHLORIDE .9% 1000ML INJ, SODIUM CHLORIDE .9% INJ 1, SODIUM CHLORIDE 0, SODIUM CHLORIDE 0., SODIUM CHLORIDE 0.9, SODIUM CHLORIDE 0.9 % 0.9, SODIUM CHLORIDE 0.9 % 0.9 % PGBK 100 ML ADDVANTAGE, SODIUM CHLORIDE 0.9 % IV SOLP, SODIUM CHLORIDE 0.9 % PGBK 100 ML BAG, SODIUM CHLORIDE 0.9 % SO, SODIUM CHLORIDE 0.9 % SOLN, SODIUM CHLORIDE 0.9 % SOLN 10 ML VIAL, SODIUM CHLORIDE 0.9 % SOLP, SODIUM CHLORIDE 0.9%, SODIUM CHLORIDE 0.9% 0.9, SODIUM CHLORIDE 0.9% 0.9 % SOLP, SODIUM CHLORIDE 0.9% 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0.9% 0.9% SOLN, SODIUM CHLORIDE 0.9% 0.9% SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9% 100 ML BA, SODIUM CHLORIDE 0.9% 100ML, SODIUM CHLORIDE 0.9% 100ML IV, SODIUM CHLORIDE 0.9% 10ML SY, SODIUM CHLORIDE 0.9% 250ML I, SODIUM CHLORIDE 0.9% 250ML IV, SODIUM CHLORIDE 0.9% 25ML, SODIUM CHLORIDE 0.9% 50ML, SODIUM CHLORIDE 0.9% 50ML 5 0264-1800-31, SODIUM CHLORIDE 0.9% 50ML BAG, SODIUM CHLORIDE 0.9% 50ML MB+, SODIUM CHLORIDE 0.9% FLU, SODIUM CHLORIDE 0.9% INJ, SODIUM CHLORIDE 0.9% INJ 10ML, SODIUM CHLORIDE 0.9% IV, SODIUM CHLORIDE 0.9% QS BASE, SODIUM CHLORIDE 0.9% SO, SODIUM CHLORIDE 0.9% SOL, SODIUM CHLORIDE 0.9% SOL 100ML, SODIUM CHLORIDE 0.9% SOLN, SODIUM CHLORIDE 0.9% SOLN HPH0-0000-30, SODIUM CHLORIDE 0.9% SOLP, SODIUM CHLORIDE 0.9% SYRG, SODIUM CHLORIDE 0.9% VIAL 10ML, SODIUM CHLORIDE (PF) 0.9 % SOLN 10ML VIAL, SODIUM CHLORIDE 0.45% SOLP, SODIUM CHLORIDE 0.45% SOLP 500 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 100 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 1 000 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 100 ML BAG, SODIUM CHLORIDE 0.9% SOLP 250 ML BAG, SODIUM CHLORIDE 0.9% SOLP 50 ML BAG, SODIUM CHLORIDE 3% SOLP, SODIUM CHLORIDE 0.9% 3ML INHA, SODIUM CHLORIDE 0.9% IV SOLP, SODIUM CHLORIDE 0.9 % PGBK 50 ML BAG, SODIUM CHLORIDE 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0.45 % SOLN 1 000 ML FLEX CONT, SODIUM CHLORIDE 0 9% SOLN, SODIUM CHLORIDE 0.9 % SOLP 250 ML BAG, SODIUM CHL 0.9% 100ML, SODIUM CHLORIDE 0.9% 250ML, SODIUM CHLORIDE 0.9% 0.9 % SOLP 1 000 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 1 000 ML BOTTLE, SODIUM CHLORIDE 0.9 % SYRINGE",66
NEOSTIGMINE 5 MG/5 ML (1 MG/ML) SYRG 5 ML SYRINGE,Pharmacy,0.815,"NEOSTIGMINE 5MG/ML INJ, NEOSTIGMINE 5MG/5ML INJ (PREFILL SYR)",2
DIPHENHYDRAMINE PER 50 MG,Pharmacy,0.8699999999999999,"DIPHENHYDRAMINE 50 MG CAP, DIPHENHYDRAMINE 50MG/ML INJ, DIPHENHYDRAMI25MG CP, DIPHENHYDRAMINE 25 MG CAPS, DIPHENHYDRAMINE 50 MG/ML SOLN",5
OXYCODONE 5 MG TAB 100 EACH BLIST PACK,Pharmacy,0.835,"OXYCODONE 5 MG TABS, OXYCODONE 5 MG TAB, OXYCODONE 5MG TAB, OXYCODONE 5 MG TABLET",4
TOWEL BLUE SURGICAL 27 X 12IN 4 PK,,,,0
LABEL MEDICATION 3 LARGE CUSTOM,,,,0
CONTAINER GENT-L-KARE POLYPROPYLENE POLYETHYLENE 4OZ GRADUATE SCREW CAP STERILE GRAY TRANSPARENT SPECIMEN STANDARD DISPOSABLE,,,,0
COVER LIGHT HANDLE BLUE STRL,,,,0
HB LAB VANCOMYCIN,"Laboratory, Pharmacy",,"VANCOMYCIN, VANCOMYCIN 1, HC VANCOMYCIN",3
LIDOCAINE 20 MG/ML (2 %) SOLN 20 ML VIAL,Pharmacy,0.95,LIDOCAINE (PF) 20 MG/ML(2%) SOLN 5 ML VIAL,1
HB OT THERAPEUTIC EX EA 15 MIN,"OR / Anesthesia / Recovery Room, PT / OT / Speech Therapy",,"OT THERAPEUTIC EXERCISE 15 MIN, HB OT THERAPEUTIC ACTV EA 15 MIN, HB PT THERAPEUTIC ACTV EA 15 MIN, HCHG THERAPEUTIC EXER 15 MIN",4
HB LAB CULTURE TUBERCLE/AFB,,,,0
SYRINGE 3OZ STERILE BULB EAR PVC BLUE ULCER,,,,0
"HB LAB HLA CLASS II, ANTIBODIES ID HI DEFINITION",,,,0
HB LAB RETICULOCYTE CNT AUTOMTED,Laboratory,0.8,BLD# RETICULOCYTE MNL,1
HOLDER TUBE TRACHEOSTOMY HOOK LOOP CLOSURE ADULT,,,,0
DEXTROSE 50 % IN WATER (D50W) 50% SYRG,"Diluent / Flush / Irrigant, Pharmacy",,"DEXTROSE 5% IN, DEXTROSE 5% IN W, DEXTROSE 5% IN WATER INJ, DEXTROSE 10% IN WATER (D10W) 10 % SOLP 250 ML BAG",4
HB OXYGEN PER ENCOUNTER,Respiratory Therapy,0.8200000000000001,"HC OXYGEN PER HOUR, HB OXYGEN",2
HB LAB SODIUM URINE,"Laboratory, Monitoring",,"SODIUM I, HB LAB SODIUM*, SODIUM  URINE",3
SUTURE CHROMIC GUT 2-0 SH 27IN,,,,0
HB LAB CULTURE VIRUS SHELL VIAL,,,,0
ONDANSETRON 4 MG/2 ML SOLN 2 ML VIAL,Pharmacy,0.8957142857142858,"ONDANSETRON 2 MG/ML SOLN, ONDANSETRON 4 MG/2 ML INJ, ONDANSETRON 4 MG/2 ML SOLN 2 ML VIAL, ONDANSETRON 4 MG/2ML SOLN, ONDANSETRON 4 MG/2 ML SOLN, ONDANSETRON 4MG/2ML INJ, ONDANSETRON 4 MG VL",7
METHYLPREDNISOLONE SOD SUC(PF) 40 MG/ML SOLR 1 EACH VIAL,Pharmacy,0.84,"METHYLPREDNISOLONE 62.5 MG/ML SOLR 1 EACH VIAL, METHYLPREDNISOLONE (SOLUME",2
NOREPINEPHRINE BITARTRATE-NACL 16 MG/250 ML (64 MCG/ML) SOLN,,,,0
HB LAB CELL CNT W/ DIFF BODY FLUID,,,,0
FORCEPS BIOPSY NEEDLE 100CM 1.8MM RADIAL JAW 3 2MM PULMONARY DISPOSABLE,,,,0
PAD ABDOMINAL 10IN X 8 NONSTERILE ABD'S,,,,0
MANIFOLD ULTRA CART,,,,0
CARBAMIDE PEROXIDE 6.5 % DROP 15 ML DROP BTL,,,,0
HB LAB IMMUNOHISTOCHEMISTRY,Laboratory,0.92,HB IMMUNOHISTOCHEMISTRY 1ST,1
HB LAB FUNGUS BLOOD CULTURE,,,,0
MIDAZOLAM 1 MG/ML 1 MG/ML SOLN,Pharmacy,0.8399999999999999,"MIDAZOLAM 1 MG/ML SOLN, MIDAZOLAM 10 MG/2ML SOLN, MIDAZOLAM 2 MG/2ML SOLN, MIDAZOLAM 5 MG/5ML SOLN, MIDAZOLAM 5 MG/ML SOLN, MIDAZOLAM 5 MG/ML SOLN 1 ML VIAL, MIDAZOLAM 5 MG/ML SOLN 10, MIDAZOLAM 5 MG/ML SOLN 2 M, MIDAZOLAM 5MG/5ML INJ, MIDAZOLAM 2MG/2ML INJ, MIDAZOLAM 1 MG/ML SOLN 2 ML VIAL, MIDAZOL HCL  1MG-1MG/ML 5 ML IN, MIDAZOLAM 1MG-MG/ML 2ML VL",13
HB LAB URINALYSIS AUTO W/MICRO,"Laboratory, OR / Anesthesia / Recovery Room",,"HC URINALYSIS AUTO W MICRO, HCHG URINALYSIS AUTO W/MICRO",2
HB LAB COMP METABOLIC PROFILE,,,,0
HB LAB ASPERGILLUS AG EIA SO,,,,0
SUTURE SILK PERMA-HAND 2-0 X-1 18IN BRAID BLACK NONABSORBABLE,,,,0
HB THERAPEUTIC ACT EA 15 MIN,PT / OT / Speech Therapy,0.8433333333333333,"THERAPEUTIC ACTIVITIES EA 15 MI, HB OT THERAPEUTIC ACTV EA 15 MIN, HB PT THERAPEUTIC ACTV EA 15 MIN",3
SENNA-DOCUSATE 8.6-50 MG TAB 100 EACH BLIST PACK,Pharmacy,0.85,"SENNA/DOCUSATE 8.6/50 MG TAB, SENNA-DOCUSATE 8.6-50 MG T, SENNA - DOCUSATE 8.6 - 50 MG, SENNA-DOCUSATE 8.6-50 MG TABS",4
PACK HEAD AND NECK,,,,0
VALGANCICLOVIR 450 MG TAB,Pharmacy,0.895,"VALGANCICLOVIR 50MG / 1ML ORAL, VALACYCLOVIR- 500MG TABLET, VALGANCICLOVIR 450 MG TAB, VALGANCICLOVIR 50 MG/ML -",4
PROPOFOL 10 MG/ML EMUL 20 ML VIAL,Pharmacy,0.8685714285714287,"LORAZEPAM 2 MG/ML SOLN 10 ML VIAL, PROPOFOL 10 MG/ML EMUL, PROPOFOL 10 MG/ML EMUL 20 ML, PROPOFOL 10 MG/ML EMUL 20 ML VIAL, PROPOFOL 10 MG/ML EMUL 100 ML VIAL, PROPOFOL 10 MG/ML EMULSI, PROPOFOL 10MG (50ML), PROPOFOL 1 G/100 ML EMUL, HB PROPOFOL 10MG/ML IV BOLUS EMUL, HB PROPOFOL 10MG/ML IV EMUL, PROPOFOL 10 MG IV, PROPOFOL 10 MG/ML INJ, PROPOFOL 100ML VL, PROPOFOL 10MG/ML 20ML VL",14
DEVICE POSITIONING FOAM DONUT,,,,0
CAUTERY TELFON FLAT TIP 2.5IN E-Z CLEAN,,,,0
BOWL PLASTIC 32OZ SOLUTION 2 WRAP UTILITY STERILE CURITY,,,,0
GLYCOPYRROLATE 0.2 MG/ML SOLN 1 ML VIAL,Pharmacy,0.8750000000000002,"GLYCOPYRROLATE 0.2 MG/ML SOLN, GLYCOPYRROLATE 0.2 MG/ML SOLN 1 ML VIAL, GLYCOPYRROLATE 0.2 MG/ML SOLN 20 ML VIAL, GLYCOPYRROLATE 0.4MG/2ML BD SY, GLYCOPYRROLATE 0.5 MG/ML SUSP, GLYCOPYRROLATE 2 MG TAB, GLYCOPYRROLATE 0.2MG/ML INJ, GLYCOPYRROLATE 1 MG/5 ML, GLYCOPYRROLATE 0.2 MG/ML INJECTION SOLUTION, HB GLYCOPYRROLATE 0.2MG/ML 1ML",10
HB LAB SMEAR FLUORESCT/ACID FAST,,,,0
CALCIUM GLUCONATE IN 0.9% NACL 1 GRAM/100 ML SOLN,"OR / Anesthesia / Recovery Room, Pharmacy",,"CALCIUM GLUCONATE 100 MG/M, CALCIUM GLUCONATE 10 % SOLN 10 ML VIAL, CALCIUM GLUCONATE 100 MG/ML SOLN, CALCIUM GLUCONATE IN 0.9% SODIUM CHLORIDE 2 GRAM/120 ML SOLN, CALCIUM GLUCONATE 10 ML INJ, CALCIUM GLUCONATE 100 MG/ML 10% INTRAVENOUS SOLUTION",6
HB NASAL CANNULA PER DAY,Supply,0.87,NASAL CANNULA,1
SUCCINYLCHOLINE PER 20 MG,Pharmacy,0.855,"SUCCINYLCHOLINE 20 MG/ML SOLN, SUCCINYLCHOLINE CHLORIDE PER 20 MG, SUCCINYLCHOLINE 200MG/10ML INJ, SUCCINYLCHN 20MG INJ",4
HB LAB CULTURE COLONY COUNT UR,,,,0
GENTAMICIN 10 MG/ML INJ 80,Pharmacy,0.8383333333333334,"GENTAMICIN 4 MG/ML SOLN, GENTAMICIN 40 MG/ML SOLN, GENTAMICIN 40 MG/ML SOLN 20 ML VIAL, NEOSTIGMINE 5MG/ML INJ, GENTAMICIN 2MG/ML, HB GENTAMICIN 40MG/ML VIAL",6
EPINEPHRINE PER 0.1 MG,Pharmacy,0.825,"EPINEPHRINE 1 MG/ML SOLN, EPINEPHRINE 0.1 MG/ML SOSY, EPINEPHRINE 1:1 000 1 MG (, EPINEPHRINE 1-10 000 0.1 M",4
HB LAB ELECTRONIC COMPATIBILITY,,,,0
HB ECHO TRANTHR 2D W/CTRST LTD,,,,0
IMMUNE GLOBULIN (HUMAN) 10 % SOLN 200 ML VIAL,Pharmacy,0.85,IMMUNE GLOBULIN (HUMAN) IV,1
VORICONAZOLE 200 MG/5 ML (40 MG/ML) SUSR 7.5 ML PACKAGE,,,,0
KIT SUCTION 14FR 2 GLOVE CATHETER CONTROL VALVE POP UP BASIN DEPTH MARK AIRLIFE TRI-FLO CATH-N-GLOVE STERILE LATEX FREE,,,,0
HB LAB FIBRIN DEGRAD D DIMER QN,,,,0
FLUTICASONE 50 MCG/ACTUATION SPSN 16 G AER W/ADAP,,,,0
HB LAB BLOOD TYPING ANTIBODYO,,,,0
COVER TABLE 65INX90IN HVY DUTY REINFORCED POLY,,,,0
HB RT INTERNAL TRANSPORT SUPPORT,,,,0
HB LAB CREATININE OTHER,,,,0
"HB LAB QUANTITATIVE ASSAY DRUG, VORICONAZOLE, SO",,,,0
POTASSIUM CHLORIDE 20 MEQ PACK 100 EACH PACKET,Pharmacy,0.8140000000000001,"POTASSIUM CHLORIDE 2 MEQ/M, POTASSIUM CHLORIDE SR 20MEQ TA, POTASSIUM CHLORIDE 20MEQ/15ML, POTASSIUM CHLORIDE 10 ME, POTASSIUM CHLORIDE SA 20, POTASSIUM CHLORIDE 20MEQ TAB S, POTASSIUM CHLOR 20 MEQ/100, POTASSIUM CHLORIDE 2 MEQ INJ, POTASSIUM CHLORIDE 20 MEQ/15ML (10%), POTASSIUM CHLORIDE PER 2 MEQ",10
LORAZEPAM 2 MG/ML SYRG 1 ML SYRINGE,Pharmacy,0.82,"LORAZEPAM 2 MG/ML CONC, LORAZEPAM 2 MG/ML SOLN, LORAZEPAM 2 MG/ML SOLN 10 ML VIAL, LORAZEPAM 2 MG/ML INJ, LORAZEPAM 2MG INJ, DIAZEPAM 5 MG/ML SYRG 2 ML SYRINGE",6
BLADE SCALPEL #15,,,,0
SPONGE 8X4IN VISTEC (RAYTEC) STRL,,,,0
HB OT ADL TRAINING EA 15 MIN,PT / OT / Speech Therapy,0.83,GAIT TRAINING EA 15 MIN,1
HB LAB LIPASE,,,,0
"HB LAB HLA CLASS I, ANTIBODIES ID HI DEFINITION",,,,0
HB LAB CMV QN NAP,,,,0
LIDOCAINE-EPINEPHRINE 1 %-1;100.000 SOLN 20 ML VIAL,Pharmacy,0.88,LIDOCAINE-EPINEPHRINE 0.5%-1:200 000 SOLN 50 ML,1
FENTANYL 10 MCG/ML SOLN,"OR / Anesthesia / Recovery Room, Pharmacy",,"PHENYLEPHRINE 10 MG/ML SOLN, FENTANYL 1000 MCG/100 ML SOLN, FENTANYL CIT 10MCG/ML 1ML NSY, FENTANYL 0.05 MG/ML SOLN 2 ML VIAL, FENTANYL 0.1MG, FENTANYL CIT 0.1 MG IN, FENTANYL 250MCG/5ML INJ, FENTANYL 100MCG/2ML INJ., FENTANYL 100 MCG INJ, FENTANYL 50MCG/ML 5ML, FENTANYL (PF) 0.05 MG/ML SOLN, FENTANYL 1:10 5 MCG/ML SOL, FENTANYL 1:10 5 MCG/ML SOLN 1 ML SYRINGE, FENTANYL 100 MCG/2 ML INJ, FENTANYL 100 MCG/2ML SOLN, FENTANYL 100MCG/2ML BD SYRINGE, FENTANYL 250 MCG/5 ML INJ, FENTANYL 250MCG/5ML BD SYRINGE, FENTANYL 50 MCG/ML SOLN, FENTANYL 50 MCG/ML SOLN 2, FENTANYL 50 MCG/ML SOLN 2 ML VIAL, FENTANYL 50 MCG/ML SOLN 20, FENTANYL 50 MCG/ML SOLN 50, FENTANYL 50 MCG/ML SOLN 50 ML VIAL, FENTANYL 50 MCG/ML SYRG 5 ML SYRINGE, FENTANYL PF 50 MCG/ML INJECTION SOLUTION",26
"LACTATED RINGERS SOLN 1,000 ML BAG",Pharmacy,0.8757142857142856,"LACATED RINGERS PER 1000 ML, LACTATED RINGERS SOLP, LACTATED RINGER SOLP, LACTATED RINGERS SOLN, LACTATED RINGERS 1000, HB LACTATED FINGERS SOL 1000ML A, HB LACTATED RINGERS SOL 1000ML A",7
ETOMIDATE 2 MG/ML SOLN 10 ML VIAL,Pharmacy,0.8460000000000001,"KETAMINE 10 MG/ML SOLN 20 ML VIAL, KETAMINE 100 MG/ML SOLN 5 ML VIAL, LORAZEPAM 2 MG/ML SOLN 10 ML VIAL, DIAZEPAM 5 MG/ML SOLN 10 ML VIAL, ETOMIDATE 2 MG/ML SOLN",5
STRAP KNEE & BODY 60IN X 3IN,,,,0
ELECTROSURGICAL CAUTERY PENCIL W/PUSH BUTTON,,,,0
"HB LAB DETECT AGENT NUCL ACID RESPIRATORY VIRUS PCR, SO",,,,0
SUTURE SILK 2-0 18IN TIES,Supply,0.8,SUTURE SILK 0 CT-2 CR,1
SYRINGE LL 20ML,Supply,0.85,SYRINGE,1
HB LAB FERRITIN,Laboratory,0.87,FERRITIN,1
HB DUPLX SCAN EXTREM UNILAT,,,,0
HB PT EVAL,PT / OT / Speech Therapy,0.83,PT RE EVAL,1
HB OT NEUROMUSCULAR RE-ED EA 15 MIN,PT / OT / Speech Therapy,0.86,HB PT NEUROMUSC RE-EDU EA 15 MIN,1
HB EKG 12 LEAD TRACING ONLY,Cardiology,0.845,"HC EKG 12 LEAD TRACE ONLY, HB EKG TRACING ONLY",2
LATANOPROST 0.005 % DROP 2.5 ML DROP BTL,,,,0
HB LAB PLATELET AB ID,,,,0
HB LAB POTAS SERUM WHOLE BL,,,,0
HB LAB LEGIONELLA CULTURE,,,,0
LABEL MEDICATION 1 2 SMALL LARGE CUSTOM,,,,0
HB LAB CULTURE FUNGUS OTHER,,,,0
SPONGE DRAIN SORB-IT 4X4 DRESSING,Supply,0.82,SPONGE DRAIN T'SORB,1
HB ORTHOTIC ORTHOSIS AFO STATIC,,,,0
HB LAB LEVEL IV SURG GROSS & MICR,,,,0
HB LAB CULTURE TYPE IMMUNOLOGIC,,,,0
HB A/E STOCKING/SLEEVE LV 2,OR / Anesthesia / Recovery Room,0.8,ANESTHESIA LEVEL 2,1
TRAY SURGICAL PREP SCRUB & SOLUTION PVP IOD,,,,0
"HB VENTILTR, IPD/OBSV, INITIAL DAY",,,,0
HB LAB CALCIUM IONIZED,"Laboratory, Monitoring",,"CALCIUM IONIZED, CALCIUM  IONIZED, CALCIUM ION, CALCIUM IONIZE, HB CALCIUM IONIZED, HC CALCIUM  IONIZED  WB, HC CALCIUM IONIZED, QLAB=CALCIUM IONIZED, I-STAT CALCIUM IONIZED, HCHG LAB CALCIUM IONIZED, CALCIUM  IONIZED (ICAL)",11
HB LAB OSMOLALITY URINE,,,,0
KIT SINGLE BASIN #7601,,,,0
DRAPE SURGICAL L60 IN X W44 IN LATEX FREE HALF SHEET FAN FOLD STERILE DISPOSABLE,,,,0
VALGANCICLOVIR 450 MG TAB 60 EACH BOTTLE,Pharmacy,0.85,"VALGANCICLOVIR 450 MG TAB, VALGANCICLOVIR 50 MG/ML -",2
HB LAB HAPTOGLOBIN,,,,0
HB LAB IRON,Laboratory,0.8,HC IRON,1
HB LAB WET MOUNT,Laboratory,0.87,WET MOUNT,1
STERIDRAPE 1000,Diluent / Flush / Irrigant,0.815,"STERILE WATER 1000ML, STERILE WATER SOLP 1 000 M",2
HB PERFLUTREN LIP MICROS INJ PER ML,Pharmacy,0.82,PERFLUTREN LIPID MICROSHERE PER 1 ML,1
HB CT THORAX W/O CONTRST,,,,0
