Procedure Code,# of desciptions,Unique charge classes,Unique rev codes names
01443738,1,Pharmacy,Pharmacy
08109,1,Laboratory,Laboratory
87106,1,Laboratory,Laboratory
G8989,1,PT / OT / Speech Therapy,PT/OT/Speech
454S0SS7,1,Monitoring,Respiratory Services
"12968239
4",1,Pharmacy,Pharmacy
832962,1,Monitoring,Laboratory
01461193,1,Pharmacy,Pharmacy
86203197,1,Laboratory,Laboratory
30112081,1,Laboratory,Laboratory
58890000,1,Respiratory Therapy,Implant/Supply
09087,1,Pharmacy,Drugs Requiring Specific Identification
30002625,1,Laboratory,Laboratory
409798309,1,Diluent / Flush / Irrigant,Pharmacy
01136294,1,Laboratory,Laboratory
71010023,1,Radiology,Radiology
33501222,1,Pharmacy,Pharmacy
30500003,1,Laboratory,Laboratory
82805.0,1,Laboratory,Laboratory
01555,1,Laboratory,Laboratory
3Q000883,1,Monitoring,Laboratory
80084 32,1,Laboratory,Laboratory
01551,1,Laboratory,Laboratory
94690,1,Respiratory Therapy,Respiratory Services
6003940C,1,Blood Products,Blood
LBF 8657,1,Laboratory,Laboratory
428379,1,Supply,Implant/Supply
GIF 3519,1,Respiratory Therapy,Implant/Supply
428377,1,Supply,Implant/Supply
9510403,1,Nursing Services,Treatment/Observation Room
348100,1,Laboratory,Laboratory
01481573,1,Pharmacy,Pharmacy
90003169,1,Procedure,Other Diagnostic Services
914423,1,Plan Benefit,Pharmacy
01445899,1,Pharmacy,Pharmacy
60621000,1,Monitoring,Laboratory
4401010,1,Radiology,Radiology
640034,1,Nursing Services,Laboratory
84540,1,Laboratory,Laboratory
60018670,1,Laboratory,Laboratory
30500006,1,Laboratory,Laboratory
3643059,1,Nursing Services,Blood
85611,1,Laboratory,Laboratory
11503099,1,Supply,Implant/Supply
11506752,1,Supply,Implant/Supply
24701468,1,Laboratory,Laboratory
037426,1,Laboratory,Laboratory
43654573,1,Laboratory,Laboratory
03910007,1,Laboratory,Laboratory
78226,1,Radiology,Nuclear Medicine
2580004,1,Diluent / Flush / Irrigant,Pharmacy
LB 5299,1,Laboratory,Laboratory
8207265,1,Supply,Implant/Supply
7001242,1,Respiratory Therapy,Pulmonary Function
85614,1,Monitoring,Laboratory
77066025,1,Supply,Implant/Supply
25030081,1,Pharmacy,Pharmacy
857301,1,Laboratory,Laboratory
00050,1,Respiratory Therapy,Implant/Supply
S5480048,1,Laboratory,Laboratory
800002151,1,Monitoring,Laboratory
82803 (CPT®),1,Laboratory,Laboratory
03910009,1,Laboratory,Laboratory
30500005,1,Laboratory,Laboratory
HMM 76,1,Supply,Pharmacy
370001262,1,PT / OT / Speech Therapy,PT/OT/Speech
14668262,1,Pharmacy,Pharmacy
952387,1,Nursing Services,Pulmonary Function
30500009,1,Laboratory,Laboratory
071411,1,Pharmacy,Drugs Requiring Specific Identification
03970000,1,Laboratory,Laboratory
11501758,1,Supply,Implant/Supply
"13029087
0",1,Pharmacy,Pharmacy
29602401,1,PT / OT / Speech Therapy,PT/OT/Speech
94660.0,1,Respiratory Therapy,Respiratory Services
037381,1,Laboratory,Laboratory
301000535,1,Laboratory,Laboratory
.J3370,1,Pharmacy,Drugs Requiring Specific Identification
124118048,1,Supply,Pharmacy
117607,1,Laboratory,Laboratory
64464,1,Laboratory,Laboratory
42120337,1,Laboratory,Laboratory
01458892,1,Pharmacy,Pharmacy
128873465,1,Pharmacy,Pharmacy
22301,1,Nursing Services,Laboratory
72170,1,Radiology,Radiology
30068,1,Laboratory,Laboratory
00053,1,Laboratory,Implant/Supply
11504054,1,Supply,Implant/Supply
7 020,1,Radiology,Radiology
80082330,1,Laboratory,Laboratory
00054,1,Laboratory,Laboratory
32000031,1,Radiology,Radiology
037438,1,Laboratory,Laboratory
123922420,1,Pharmacy,Pharmacy
83736,1,Laboratory,Laboratory
105 05,1,Laboratory,Laboratory
T3010,1,Pharmacy,Drugs Requiring Specific Identification
30001259,1,Laboratory,Laboratory
"13032065
9",1,Pharmacy,Pharmacy
PI002053,1,Pharmacy,Pharmacy
86018,1,Laboratory,Laboratory
09700,1,PT / OT / Speech Therapy,PT/OT/Speech
11505582,1,Supply,Implant/Supply
8233 0,1,Laboratory,Laboratory
800002162,1,Monitoring,Laboratory
30211093,1,Laboratory,Laboratory
11513080,1,Supply,Implant/Supply
8373 5,1,Laboratory,Laboratory
94668.0,1,Respiratory Therapy,Respiratory Services
84075B,1,Laboratory,Laboratory
30100219,1,Laboratory,Laboratory
30100218,1,Laboratory,Laboratory
11504691,1,Supply,Implant/Supply
60015770,1,Laboratory,Laboratory
844&4,1,Laboratory,Laboratory
628000244,1,Respiratory Therapy,OR Services
300000286,1,Laboratory,Laboratory
829H2,1,Monitoring,Laboratory
306000005,1,Laboratory,Laboratory
017739,1,Pharmacy,Pharmacy
83000006,1,Laboratory,Laboratory
LB0OB063,1,Laboratory,Laboratory
30060,1,Laboratory,Laboratory
82062,1,Monitoring,Laboratory
04591,1,Laboratory,Laboratory
42400001,1,PT / OT / Speech Therapy,PT/OT/Speech
42704,1,Pharmacy,Drugs Requiring Specific Identification
J9259007,1,PT / OT / Speech Therapy,PT/OT/Speech
91258,1,Radiology,Radiology
3061281,1,Laboratory,Laboratory
"13011272
6",1,Supply,Pharmacy
30001074,1,Laboratory,Laboratory
"12852243
9",1,Pharmacy,Pharmacy
30001070,1,Laboratory,Laboratory
62601703,1,Laboratory,Laboratory
3.7500325E7,1,Laboratory,Laboratory
11502667,1,Supply,Implant/Supply
11504104,1,Supply,Implant/Supply
01019587,1,Laboratory,Laboratory
J34»0,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
12250,1,Pharmacy,Drugs Requiring Specific Identification
01040856,1,Laboratory,Laboratory
01481710,1,Pharmacy,Pharmacy
73499,1,Pharmacy,Pharmacy
300800610,1,Laboratory,Laboratory
37507,1,Pharmacy,Pharmacy
"13009121
7",1,Supply,Pharmacy
6319475,1,Laboratory,Laboratory
HCRX258636001,1,Diluent / Flush / Irrigant,Pharmacy
01940,1,Pharmacy,Drugs Requiring Specific Identification
811885,1,Respiratory Therapy,Implant/Supply
01117001,1,Laboratory,Laboratory
11509786,1,Supply,Implant/Supply
89156000,1,PT / OT / Speech Therapy,PT/OT/Speech
11502687,1,Supply,Implant/Supply
406551,1,Radiology,Cast/Recovery/Labor Room
11502681,1,Supply,Implant/Supply
55551000,1,OR / Anesthesia / Recovery Room,OR Services
18532,1,Laboratory,Laboratory
77028991,1,Supply,Implant/Supply
81015,1,Laboratory,Laboratory
LB 2047,1,Laboratory,Laboratory
2312007,1,Laboratory,Laboratory
106591,1,Laboratory,Laboratory
01481788,1,Pharmacy,Pharmacy
916279,1,Pharmacy,Drugs Requiring Specific Identification
02051374,1,Radiology,CT Scan
059044,1,Respiratory Therapy,Respiratory Services
801721,1,Laboratory,Laboratory
LB 801,1,Laboratory,Laboratory
58946405,1,Respiratory Therapy,Respiratory Services
11222098,1,Supply,Implant/Supply
512392,1,Nursing Services,Laboratory
9005827,1,Laboratory,Laboratory
466593,1,PT / OT / Speech Therapy,PT/OT/Speech
11504872,1,Supply,Implant/Supply
11514595,1,Supply,Implant/Supply
305000051,1,Laboratory,Laboratory
"12971995
3",1,Diluent / Flush / Irrigant,Pharmacy
122142,1,Laboratory,Laboratory
300000356,1,Laboratory,Laboratory
300000357,1,Laboratory,Laboratory
14701212,1,Plan Benefit,Pharmacy
"13032066
8",1,Pharmacy,Pharmacy
52405,1,Pharmacy,Drugs Requiring Specific Identification
9.2214144E7,1,Diluent / Flush / Irrigant,Pharmacy
LB 800,1,Laboratory,Laboratory
84205,1,Laboratory,Laboratory
60619000,1,Monitoring,Laboratory
33504519,1,Pharmacy,Drugs Requiring Specific Identification
20420,1,Supply,Implant/Supply
106145,1,Laboratory,Laboratory
059049,1,Respiratory Therapy,Respiratory Services
3404514,1,Monitoring,Laboratory
59541000,1,Supply,Implant/Supply
30007090,1,Laboratory,Laboratory
4438602,1,Laboratory,Laboratory
01023589,1,Laboratory,Laboratory
4438601,1,Laboratory,Laboratory
460OB014,1,Monitoring,Pulmonary Function
HCRXX17710002,1,Nursing Services,Preventive Care Services
37637,1,Pharmacy,Drugs Requiring Specific Identification
0 03110 14,1,Room and Board,Intensive Care
21460708,1,Diluent / Flush / Irrigant,Pharmacy
8319348,1,Laboratory,Laboratory
037434,1,Laboratory,Laboratory
8?962,1,Monitoring,Laboratory
03620,1,Pharmacy,Pharmacy
01414994,1,Pharmacy,Pharmacy
30100217,1,Laboratory,Laboratory
30100077,1,Laboratory,Laboratory
800000982,1,Laboratory,Laboratory
49024003,1,Pharmacy,Pharmacy
37120,1,Pharmacy,Pharmacy
30100072,1,Laboratory,Laboratory
10740,1,Laboratory,Laboratory
7.60101584E8,1,Laboratory,Laboratory
27003470,1,Supply,Implant/Supply
RX016,1,Pharmacy,Pharmacy
122353,1,PT / OT / Speech Therapy,PT/OT/Speech
19000959,1,Laboratory,Laboratory
01430396,1,Pharmacy,Pharmacy
"12913685
2",1,Pharmacy,Pharmacy
"12913685
0",1,Pharmacy,Pharmacy
"12913685
7",1,Pharmacy,Pharmacy
11501487,1,Supply,Implant/Supply
3.3176647E7,1,Supply,Implant/Supply
52070040,1,Room and Board,Intensive Care
7101C,1,Radiology,Radiology
30100078,1,Laboratory,Laboratory
01481813,1,Pharmacy,Pharmacy
3000023,1,Laboratory,Laboratory
760101944,1,Laboratory,Laboratory
109561,1,Laboratory,Laboratory
760101940,1,Laboratory,Laboratory
27600026,1,Radiology,Radiology
25700030,1,Room and Board,Room & Board
30180202,1,Laboratory,Laboratory
100000028,1,Nursing Services,Other Diagnostic Services
J705Q,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
82962 QW,1,Monitoring,Laboratory
40000045,1,Diluent / Flush / Irrigant,Pharmacy
02426690,1,Supply,Implant/Supply
4365070,1,Monitoring,Laboratory
417931,1,Laboratory,Laboratory
Q4081,1,Pharmacy,Drugs Requiring Specific Identification
"13045678
6",1,Diluent / Flush / Irrigant,Pharmacy
97001.0,1,PT / OT / Speech Therapy,PT/OT/Speech
30182728,1,Laboratory,Laboratory
30001483,1,Laboratory,Laboratory
5653657,1,Diluent / Flush / Irrigant,Pharmacy
01803,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
03 B346,1,Pharmacy,Drugs Requiring Specific Identification
J0708,1,Pharmacy,Drugs Requiring Specific Identification
B5027,1,Laboratory,Laboratory
01444421,1,Pharmacy,Pharmacy
B5025,1,Laboratory,Laboratory
P9055,1,Blood Products,Blood
116278,1,Laboratory,Laboratory
30183605,1,Laboratory,Laboratory
11000001,1,Room and Board,Room & Board
8178SML,1,Laboratory,Laboratory
8207266,1,Supply,Implant/Supply
J 0690,1,Pharmacy,Drugs Requiring Specific Identification
01482566,1,Supply,Pharmacy
1300375,1,Nursing Services,Other Therapeutic Services
LBF 9458,1,Laboratory,Laboratory
03650190,1,Capital Equipment,Implant/Supply
60020290,1,Laboratory,Laboratory
94752,1,Monitoring,Pulmonary Function
36403,1,Laboratory,Laboratory
00926766,1,Pharmacy,Laboratory
7.60100046E8,1,Laboratory,Laboratory
04550,1,Laboratory,Laboratory
38303598,1,Supply,Implant/Supply
37500169,1,Laboratory,Laboratory
800002820,1,Laboratory,Laboratory
93971,1,Radiology,Other Diagnostic Services
800604,1,Laboratory,Laboratory
800606,1,Laboratory,Laboratory
11503880,1,Supply,Implant/Supply
32000205,1,Capital Equipment,Implant/Supply
3200210,1,PT / OT / Speech Therapy,PT/OT/Speech
2.700347E7,1,Supply,Implant/Supply
037189,1,Laboratory,Laboratory
93975,1,Radiology,Other Diagnostic Services
117936,1,Laboratory,Laboratory
17075,1,Laboratory,Laboratory
8940272,1,PT / OT / Speech Therapy,PT/OT/Speech
29B432,1,Laboratory,Laboratory
86402004,1,PT / OT / Speech Therapy,PT/OT/Speech
3 5415,1,Nursing Services,Laboratory
01015064,1,Laboratory,Laboratory
700000,1,Pharmacy,Pharmacy
8 2 945,1,Laboratory,Laboratory
800002687,1,Laboratory,Laboratory
J301Q,1,Pharmacy,Drugs Requiring Specific Identification
00091,1,Respiratory Therapy,Implant/Supply
8319240,1,Laboratory,Laboratory
121 34,1,Laboratory,Laboratory
00557,1,Laboratory,Laboratory
260000008,1,Nursing Services,Emergency Room
9013154,1,Radiology,Cardiology
118280,1,Laboratory,Laboratory
800132,1,Laboratory,Laboratory
90001458,1,Procedure,Other Diagnostic Services
260000003,1,Nursing Services,Emergency Room
JZ 704,1,Pharmacy,Drugs Requiring Specific Identification
J301D,1,Pharmacy,Drugs Requiring Specific Identification
41095399,1,Diluent / Flush / Irrigant,Pharmacy
JG706,1,Pharmacy,Drugs Requiring Specific Identification
H13482,1,PT / OT / Speech Therapy,PT/OT/Speech
K421G,1,Diluent / Flush / Irrigant,Pharmacy
83630,1,Laboratory,Laboratory
801722,1,Laboratory,Laboratory
926626,1,Laboratory,Laboratory
3061287,1,Laboratory,Laboratory
9027100,1,Radiology,Radiology
105210077,1,Supply,Implant/Supply
09704,1,Laboratory,Laboratory
52803749,1,Laboratory,Laboratory
94750,1,Monitoring,Pulmonary Function
01467349,1,Pharmacy,Pharmacy
396233,1,Supply,Implant/Supply
39654,1,Laboratory,Laboratory
10456,1,Pharmacy,Drugs Requiring Specific Identification
30110250,1,Laboratory,Laboratory
74240 (CPT®),1,Procedure,Radiology
48527,1,Pharmacy,Drugs Requiring Specific Identification
86810006,1,PT / OT / Speech Therapy,PT/OT/Speech
J347S,1,Pharmacy,Drugs Requiring Specific Identification
902571,1,Laboratory,Laboratory
71260,1,Radiology,CT Scan
25000005,1,Pharmacy,Pharmacy
85364,1,Laboratory,Laboratory
S4630,1,Laboratory,Laboratory
20S03301,1,Room and Board,Room & Board
11502913,1,Supply,Implant/Supply
18614 0,1,Laboratory,Laboratory
86611002,1,PT / OT / Speech Therapy,PT/OT/Speech
88112,1,Laboratory,Laboratory
82 9 62,1,Monitoring,Laboratory
86611001,1,PT / OT / Speech Therapy,PT/OT/Speech
86611007,1,PT / OT / Speech Therapy,PT/OT/Speech
86611004,1,PT / OT / Speech Therapy,PT/OT/Speech
8206250,1,Supply,Implant/Supply
11514697,1,Supply,Implant/Supply
850-',1,Laboratory,Laboratory
26000524,1,Pharmacy,IV Therapy
800000551,1,Laboratory,Laboratory
C1465939,1,Pharmacy,Pharmacy
82310.0,1,Laboratory,Laboratory
32746,1,Laboratory,Laboratory
11514696,1,Supply,Implant/Supply
00813,1,Pharmacy,Pharmacy
76000,1,Radiology,Radiology
3113504,1,OR / Anesthesia / Recovery Room,Anesthesia
12185,1,Pharmacy,Drugs Requiring Specific Identification
43603747,1,Laboratory,Laboratory
J 1885,1,Pharmacy,Drugs Requiring Specific Identification
803940,1,Laboratory,Laboratory
82862,1,Monitoring,Laboratory
10165,1,PT / OT / Speech Therapy,PT/OT/Speech
125628815,1,Supply,Pharmacy
C1452051,1,Pharmacy,Pharmacy
87186.0,1,Laboratory,Laboratory
35809987,1,Respiratory Therapy,Implant/Supply
83000577,1,Laboratory,Laboratory
721OI,1,Pharmacy,Pharmacy
8940273,1,PT / OT / Speech Therapy,PT/OT/Speech
RH 2600,1,PT / OT / Speech Therapy,PT/OT/Speech
90003170,1,Procedure,Other Diagnostic Services
00819,1,Pharmacy,Pharmacy
1412980,1,Pharmacy,Pharmacy
11502914,1,Supply,Implant/Supply
11506039,1,Supply,Implant/Supply
3113505,1,OR / Anesthesia / Recovery Room,Anesthesia
HCLAB 13010154,1,Laboratory,Laboratory
03910016,1,Laboratory,Laboratory
DL482125,1,Pharmacy,Pharmacy
03910010,1,Laboratory,Laboratory
03910011,1,Laboratory,Laboratory
902560,1,Laboratory,Laboratory
C1887,1,Supply,Implant/Supply
128085497,1,Pharmacy,Pharmacy
03910018,1,Laboratory,Laboratory
JLL00,1,Pharmacy,Drugs Requiring Specific Identification
64520,1,Laboratory,Laboratory
8120222,1,Monitoring,Laboratory
01017623,1,Laboratory,Laboratory
5040056,1,Pharmacy,Pharmacy
E4100,1,Laboratory,Laboratory
83000578,1,Laboratory,Laboratory
85362,1,Blood Products,Laboratory
30151000,1,Laboratory,Laboratory
80069.0,1,Laboratory,Laboratory
03910014,1,Laboratory,Laboratory
0102406N,1,Laboratory,Laboratory
132839006,1,Diluent / Flush / Irrigant,Pharmacy
60079840,1,Monitoring,Laboratory
4276065,1,Laboratory,Laboratory
00571B,1,Pharmacy,Pharmacy
33606,1,Laboratory,Laboratory
83516,1,Laboratory,Laboratory
55483750,1,Laboratory,Laboratory
05840753,1,Laboratory,Laboratory
43723663,1,PT / OT / Speech Therapy,PT/OT/Speech
LB008017,1,Laboratory,Laboratory
C 1476761,1,Pharmacy,Pharmacy
10670,1,Laboratory,Laboratory
82529004,1,Laboratory,Laboratory
H13580,1,PT / OT / Speech Therapy,PT/OT/Speech
C0926626,1,Laboratory,Laboratory
971100P,1,PT / OT / Speech Therapy,PT/OT/Speech
4228511,1,Laboratory,Laboratory
J165Q,1,Pharmacy,Pharmacy
01482165,1,Pharmacy,Pharmacy
63940000,1,Laboratory,Laboratory
419921,1,Laboratory,Laboratory
86317,1,Laboratory,Laboratory
00049,1,Respiratory Therapy,Respiratory Services
117834,1,Laboratory,Laboratory
"12885890
1",1,Pharmacy,Pharmacy
13322042,1,Pharmacy,Pharmacy
033527,1,PT / OT / Speech Therapy,PT/OT/Speech
00040,1,Laboratory,Laboratory
9007B,1,Laboratory,Laboratory
033524,1,PT / OT / Speech Therapy,PT/OT/Speech
180069,1,Laboratory,Laboratory
2J3010,1,Pharmacy,Drugs Requiring Specific Identification
8 7040,1,Laboratory,Laboratory
432272,1,Supply,Implant/Supply
30135014,1,Laboratory,Laboratory
LB 9458,1,Laboratory,Laboratory
11501253,1,Supply,Implant/Supply
15151012,1,Pharmacy,Pharmacy
21400001,1,Room and Board,Coronary Care
302000202,1,Laboratory,Laboratory
510224,1,Laboratory,EKG/ECG/EEG
37500225,1,Laboratory,Laboratory
HMM 3948,1,Supply,Pharmacy
27002939,1,Supply,Implant/Supply
43722S22,1,PT / OT / Speech Therapy,PT/OT/Speech
87449,1,Laboratory,Laboratory
05027,1,Laboratory,Laboratory
30100203,1,Laboratory,Laboratory
92526 -GN,1,PT / OT / Speech Therapy,PT/OT/Speech
77046985,1,Supply,Implant/Supply
30100395,1,Laboratory,Laboratory
4510632,1,Pharmacy,Pharmacy
01 B958,1,Pharmacy,Drugs Requiring Specific Identification
J349G,1,Pharmacy,Pharmacy
42 68,1,Laboratory,Laboratory
128036624,1,Pharmacy,Pharmacy
034333,1,Respiratory Therapy,Respiratory Services
86143,1,Laboratory,Laboratory
3B415,1,Nursing Services,Laboratory
11511272,1,Supply,Implant/Supply
26415,1,Nursing Services,Laboratory
245507,1,Pharmacy,Drugs Requiring Specific Identification
4779001,1,Laboratory,Laboratory
688949,1,Pharmacy,Drugs Requiring Specific Identification
527127100539,1,Respiratory Therapy,Implant/Supply
"12921982
4",1,Pharmacy,Pharmacy
11502855,1,Supply,Implant/Supply
22078642,1,Monitoring,Laboratory
10902225,1,Pharmacy,Pharmacy
55282848,1,Supply,Implant/Supply
60016690,1,Laboratory,Laboratory
83001150,1,Laboratory,Laboratory
166561,1,Laboratory,Laboratory
94 64 0,1,Respiratory Therapy,Respiratory Services
R2248,1,Laboratory,Laboratory
77000462,1,Supply,Implant/Supply
400037176,1,Supply,Implant/Supply
45839000,1,OR / Anesthesia / Recovery Room,Respiratory Services
30202022,1,Laboratory,Laboratory
D00652,1,Supply,Implant/Supply
640091,1,Respiratory Therapy,Implant/Supply
800850 4,1,Laboratory,Laboratory
J1720,1,Pharmacy,Pharmacy
8260?,1,Laboratory,Laboratory
124710025,1,Pharmacy,Pharmacy
A4750,1,Supply,Implant/Supply
82017,1,Laboratory,Laboratory
J0B90,1,Pharmacy,Drugs Requiring Specific Identification
HCLAB 13020079,1,Laboratory,Laboratory
J7205,1,Laboratory,Laboratory
27055100,1,Radiology,MRI
30100513,1,Laboratory,Laboratory
55551015,1,OR / Anesthesia / Recovery Room,OR Services
734000721,1,Monitoring,Pulmonary Function
01468032,1,Pharmacy,Pharmacy
22117476,1,Pharmacy,Drugs Requiring Specific Identification
36030001,1,Pharmacy,Oncology
"13025154
2",1,Pharmacy,Pharmacy
01434711,1,Pharmacy,Pharmacy
400001997,1,Supply,Implant/Supply
6111255,1,Pharmacy,Pharmacy
J 1 940,1,Pharmacy,Drugs Requiring Specific Identification
503172,1,Laboratory,Laboratory
01481328,1,Supply,Pharmacy
8178LSL,1,Laboratory,Laboratory
84434,1,Laboratory,Laboratory
12005354,1,Respiratory Therapy,Implant/Supply
4971202,1,Laboratory,Laboratory
83785,1,Laboratory,Laboratory
01481948,1,Pharmacy,Pharmacy
01482418,1,Pharmacy,Pharmacy
99865202,1,Pharmacy,Pharmacy
850270,1,Laboratory,Laboratory
300000437,1,Laboratory,Laboratory
13010,1,Pharmacy,Drugs Requiring Specific Identification
06201123,1,Pharmacy,Laboratory
J164 2,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
40018,1,Laboratory,Laboratory
30456,1,Pharmacy,Drugs Requiring Specific Identification
37030,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
01723089,1,Procedure,Radiology
027262561193,1,Supply,Implant/Supply
83010,1,Laboratory,Laboratory
30201214,1,Laboratory,Laboratory
301000656,1,Laboratory,Laboratory
01481942,1,Pharmacy,Pharmacy
4IE021J3,1,Capital Equipment,Implant/Supply
01481943,1,Pharmacy,Pharmacy
5318830,1,Pharmacy,Drugs Requiring Specific Identification
30600029,1,Laboratory,Laboratory
J3016,1,Pharmacy,Drugs Requiring Specific Identification
083623,1,Pharmacy,Drugs Requiring Specific Identification
11504086,1,Supply,Implant/Supply
71000026,1,OR / Anesthesia / Recovery Room,Cast/Recovery/Labor Room
512018,1,Laboratory,EKG/ECG/EEG
63002004,1,Laboratory,Laboratory
035904,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
"12971992
6",1,Pharmacy,Pharmacy
"12971992
7",1,Pharmacy,Pharmacy
"12971992
4",1,Pharmacy,Pharmacy
"12971992
5",1,Pharmacy,Pharmacy
11504089,1,Supply,Implant/Supply
7111036,1,Radiology,Radiology
"12955772
9",1,Pharmacy,Pharmacy
25009524,1,Pharmacy,Pharmacy
1080,1,Pharmacy,Drugs Requiring Specific Identification
J2705,1,Pharmacy,Pharmacy
800000120,1,Laboratory,Laboratory
J1761,1,Pharmacy,Drugs Requiring Specific Identification
037225,1,Laboratory,Laboratory
906474,1,Respiratory Therapy,Respiratory Services
B0O69,1,Laboratory,Laboratory
"12986210
8",1,Pharmacy,Pharmacy
117809,1,Laboratory,Laboratory
35808987,1,Respiratory Therapy,Implant/Supply
J2248,1,Pharmacy,Pharmacy
4104100,1,Laboratory,Laboratory
01466382,1,Pharmacy,Pharmacy
30100062,1,Laboratory,Laboratory
72010,1,Laboratory,Laboratory
23910018,1,Professional Fee,Laboratory
30101300,1,Laboratory,Laboratory
60033636,1,Supply,Implant/Supply
3 735,1,Laboratory,Laboratory
· 0048,1,Laboratory,Laboratory
84295 (CPT®),1,Laboratory,Laboratory
