descrip,# of descs,# of rev code grps,# of charge classes,Unique charge classes,Unique rev codes grps
SUCTION IRRIGATION TUBING,1,1,1,Supply,Implant/Supply
13802212 - MUPIROCIN 2% OINT 22GM,1,1,1,Pharmacy,Pharmacy
ASSAY OF PROLACTIN,1,1,1,Laboratory,Laboratory
HS WARFARIN SODIUM 5MG TAB UD DUP,1,1,1,Pharmacy,Pharmacy
SURG PATH LEVEL 3 (LEVEL3),1,1,1,Laboratory,Laboratory
HB PT EVALUATION,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
HB MORPHINE 30 MG/30 ML PCA 1 MG/ML,1,1,1,Pharmacy,Pharmacy
DEXTROSE 50% SYRG,1,1,1,Pharmacy,Pharmacy
WATER FOR INJ,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB CATHETER SX ARGL L61CM OD8FR R,1,1,1,Supply,Implant/Supply
HB MRA NECK WO CONTRAST,1,1,1,Radiology,MRI
HB TOT PROTEIN; CSF,1,1,1,Laboratory,Laboratory
12037212 - PERFLUTREN LIPID MICROSPH/ML,1,1,1,Pharmacy,Pharmacy
DRAPE STERI 1018 INSTRUMENT PO,1,1,1,Supply,Implant/Supply
63529001 - RENAL FUNCTION PANEL,1,1,1,Laboratory,Laboratory
64768100 - ACUTE HEPATITIS PANEL,1,1,1,Laboratory,Laboratory
TRIAMCINOLONE ACETONIDE 0.1 % OINT 15 G TUBE,1,1,1,Pharmacy,Pharmacy
HB PNEUMOCOCCAL 13 VAL CONJ,1,1,1,Pharmacy,Pharmacy
DIAZEPAM 5 MG/5 ML SOLN,1,1,1,Pharmacy,Pharmacy
RANITIDINE HCL 50 MG/2ML IJ SOLN,1,1,1,Pharmacy,Pharmacy
HB CANNULA OSTIAL 14 FR,1,1,1,Supply,Implant/Supply
ANCHOR/SCRW LEVEL 4,1,1,1,Implant,Implant/Supply
HC US DOP ECHO C FLOW,1,1,1,Radiology,Cardiology
SLEEP SACK KITS,1,1,1,Supply,Implant/Supply
ANCHOR/SCRW LEVEL 3,1,1,1,Implant,Implant/Supply
89295000 - MOD BARIUM SWALLOW-2 SPEECH TH,1,1,1,Radiology,PT/OT/Speech
HB KIT WILSON FRAME,1,1,1,Supply,Implant/Supply
INR (PROTHROMBIN TIME),1,1,1,Laboratory,Laboratory
PIPERACILLIN-TAZOBACTAM 1.125 G IV,1,1,1,Pharmacy,Pharmacy
77960363 - INTRODUCER STYLT 15F,1,1,1,Supply,Implant/Supply
STAPLER SKIN,1,1,1,Supply,Implant/Supply
GLUCOSE POINT,1,1,1,Monitoring,Laboratory
GERIRATRIC PSY INPATIENT,1,1,1,Room and Board,Room & Board
ROOM E713 2,1,1,1,Room and Board,Room & Board
HB CATHETER ANGIOP BLU MAX 20 L12,1,1,1,Supply,Implant/Supply
NS 50ML IV,1,1,1,Diluent / Flush / Irrigant,Pharmacy
CMPNT FEM PRCT CR RT S,1,1,1,Implant,Implant/Supply
HB GABAPENTIN 100MG CAPSULE,1,1,1,Pharmacy,Pharmacy
HB CARRYING CASE PT. PACK HVAD,1,1,1,Supply,Implant/Supply
AMYLASE/LIPASE/PROTEASE 12000U,1,1,1,Laboratory,Pharmacy
HB KIT VAP GUARD ORAL CARE,1,1,1,Supply,Implant/Supply
5.5X4000 POLY SCREW,1,1,1,Implant,Implant/Supply
58862000 - TRANSPORT-VENT PATIENT ADULT,1,1,1,Respiratory Therapy,Respiratory Services
FIBRINOGEN ASSAY,1,1,1,Laboratory,Laboratory
HB DEXAMETHASONE 1MG TAB,1,1,1,Pharmacy,Pharmacy
POLYMYXIN B SULFATE INJ,1,1,1,Pharmacy,Pharmacy
FA BOOT ANKLE CONTRACTURE MED,1,1,1,Supply,Implant/Supply
ROCURONIUM 50MG/5ML BD SYRINGE,1,1,1,Pharmacy,Pharmacy
HB LINER SX MDVC 1000CC W/FLTR,1,1,1,Supply,Implant/Supply
SHEATH FLEXOR CHECK FLO II 10F 40CM,1,1,1,Supply,Implant/Supply
HB SILDENAFIL 20 MG TABLET,1,1,1,Plan Benefit,Pharmacy
DEXTROSE 5% AND 0.2% NACL,1,1,1,Pharmacy,Pharmacy
HB NEBULIZER AERO LOOOCC PRFLL KT,1,1,1,Supply,Implant/Supply
65009001 - HEMOGRAM W/O DIFFERENTIAL,1,1,1,Laboratory,Laboratory
77074835 - DRESSING FOAM 8X20 MEPILEX AG,1,1,1,Supply,Implant/Supply
GASES BLOOD O2 SAT,1,1,1,Monitoring,Laboratory
AEROSOL INHALATION INITIAL,1,1,1,Respiratory Therapy,Respiratory Services
RANITIDINE 25 MG/ML SOLN,1,1,1,Pharmacy,Pharmacy
FAT EMULSION 20% EMUL 250 ML BAG,1,1,1,Pharmacy,Pharmacy
SODIUM BICARB 50MEQ/50ML INJ V,1,1,1,Pharmacy,Pharmacy
HB FORCEP BIPOLAR DISP STER SPETZ,1,1,1,Supply,Implant/Supply
BLANKET BAIRHUGGER FULL PED,1,1,1,Supply,Implant/Supply
04500010 - EMER GSH CRIT CARE 30-74MIN,1,1,1,Other,Emergency Room
HCHG POC POTASSIUM,1,1,1,Monitoring,Laboratory
OSMOLALITY BLOOD,1,1,1,Laboratory,Laboratory
HB PHENERGAN 25MG TABLET UD,1,1,1,Pharmacy,Pharmacy
HB CATHETER DRN 25CM 8.5FR HDRPH,1,1,1,Supply,Implant/Supply
FILTER MICRN 80,1,1,1,Supply,Implant/Supply
FELT BARD DEBAKEY 4*4,1,1,1,Supply,Implant/Supply
HB TUBING SX MDVC L6FT OD6MM NONC,1,1,1,Supply,Implant/Supply
SUT POLYSORB 2-0 GS-21 U/D 36IN CL953,1,1,1,Supply,Implant/Supply
HB CATHETER 5FR 8CM DOUBLE LUMEN,1,1,1,Supply,Implant/Supply
HB FOROSEMIDE 10MG/ML VIAL,1,1,1,Pharmacy,Pharmacy
HB DSG MPLX TRANSFER AG SIL 4X5IN,1,1,1,Supply,Implant/Supply
HC THRPY ACTVTY DIRCT 15MIN,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
HB ADDITIONAL KARYOTYPE,1,1,1,Laboratory,Laboratory
HB NEEDLE ELECSURG CO L3CM STR SL,1,1,1,Supply,Implant/Supply
CBC/PLT W/O DIFF/HEMOGRAM,1,1,1,Laboratory,Laboratory
HC US ECHOCARDIOGRAPHY LIMITED,1,1,1,Radiology,Cardiology
MAGNESIUM 2 GM IN 50ML D5W,1,1,1,Pharmacy,Pharmacy
HCHG OLIGO OTHER SOURCE HCHG OLIGO OTHER SOURCE,1,1,1,Laboratory,Laboratory
HB CIPRO 250MG CAP,1,1,1,Pharmacy,Pharmacy
HCHG R&B NICU LEVEL III HCHG R&B NICU LEVEL III,1,1,1,Room and Board,Room & Board
PETROLATUM LACRILUBE EYE 3.5G,1,1,1,Supply,Pharmacy
HB HOLDER INSTRUMENT SANI STOR 24 IN STRAP,1,1,1,Supply,Implant/Supply
HB AORTAGRAPHY CATHETER,1,1,1,Supply,Radiology
FUROSEMIDE 20MG TABLET UD,1,1,1,Pharmacy,Pharmacy
MORPHINE SULF 10MG/ML 1ML INJ,1,1,1,Pharmacy,Drugs Requiring Specific Identification
OXYGENATOR MEMBRANE TYPE CVP,1,1,1,Supply,Implant/Supply
HCHG SOL IRRIG WATER ST 1000ML (AKA 1577),1,1,1,Diluent / Flush / Irrigant,Implant/Supply
HB SUT BOOD RED,1,1,1,Supply,Implant/Supply
LF LSPRIMPLUM CLV,1,1,1,Supply,Implant/Supply
HB INSULIN DETERMIR 100 UNITS/ML,1,1,1,Pharmacy,Pharmacy
GASTROSTOMY TUBE,1,1,1,Supply,Implant/Supply
27048600 - CT FACE/SINUS AXIAL W/O CONTRS,1,1,1,Radiology,CT Scan
SET EXT IV/12525-01,1,1,1,Supply,Implant/Supply
HC TROPONIN I,1,1,1,Laboratory,Laboratory
POC-GLUCOSE BLOOD MONITOR,1,1,1,Monitoring,Laboratory
ALBUTEROL 0.083 % NEBU,1,1,1,Pharmacy,Pharmacy
HB MORPHINE SULFATE 15MG TAB BULK,1,1,1,Pharmacy,Pharmacy
COMPRE METAB PANEL,1,1,1,Laboratory,Laboratory
INJ PROC PULMONARY ANGIO,1,1,1,Radiology,Cardiology
BEDSIDE GLUCOSE,1,1,1,Monitoring,Laboratory
URETERAL CATHETEE TRAY,1,1,1,Supply,Implant/Supply
HB CANNULA PRFSN PED L28CM ODIOFR,1,1,1,Supply,Implant/Supply
PULSE OX DAILY,1,1,1,Monitoring,Respiratory Services
HC PLS IRRIGATOR AND DIVERTER TIP,1,1,1,Supply,Implant/Supply
HB INSLIN ASPART 100/UNIT ML VL,1,1,1,Pharmacy,Pharmacy
POC-GLUCOSE-GEM,1,1,1,Monitoring,Laboratory
CICU VENT MGT LEV 1 INIT,1,1,1,Respiratory Therapy,Respiratory Services
INFANT TRAINER SET,1,1,1,Supply,Implant/Supply
HB CATHETER CORONARY JUDKINS LEFT,1,1,1,Supply,Implant/Supply
HC RC PROTOCOL ASSESSMENT,1,1,1,Respiratory Therapy,Respiratory Services
PERFUSION SET,1,1,1,Supply,Implant/Supply
HEMATOCRIT (HCT),1,1,1,Laboratory,Laboratory
SOD CHLORIDE 0.9% PER 250ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
12155002 - DOCUSATE SODIUM CAPSULE 100MG,1,1,1,Pharmacy,Pharmacy
HB GLOVES SURG NEU-THERA 6.5 PF S,1,1,1,Supply,Implant/Supply
SAFE SLEEP KIT,1,1,1,Supply,Implant/Supply
Glucose CSF,1,1,1,Laboratory,Laboratory
HB T4 RIA/1,1,1,1,Laboratory,Laboratory
HB GLOVE BGEL PI INDICATR 6.5 STR,1,1,1,Supply,Implant/Supply
86410000 - INDIVIDUAL EXERCISE PER 15 MIN,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
GLUCOSE BY GMD,1,1,1,Monitoring,Laboratory
FUROSEMIDE 1OMG/ML VIAL,1,1,1,Pharmacy,Pharmacy
BELL PLASTIC 1.2 CM HCHG BELL PLASTIC 1.2 CM,1,1,1,Supply,Implant/Supply
HEPLOCK 100U 1ML PFS,1,1,1,Diluent / Flush / Irrigant,Pharmacy
ROOM E631 7,1,1,1,Room and Board,Room & Board
PREVNAR 13 0.5ML VACCINE,1,1,1,Pharmacy,Drugs Requiring Specific Identification
27939750 - ULTRASD ABDOMEN VENOUS/ARTERL,1,1,1,Radiology,Other Diagnostic Services
PERICARDIAL MEMBRANE,1,1,1,Implant,Implant/Supply
HB CATHETER CORONARY JUDKINS RIGH,1,1,1,Supply,Implant/Supply
T4NW-GENERAL MEDICINE PRIVATE,1,1,1,Room and Board,Room & Board
DXTRSE 5%/WATER PER 500ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
DOPAMINE 40MG/1ML INJ,1,1,1,Pharmacy,Pharmacy
TROPHAMINE SOLP 500 ML BAG,1,1,1,Pharmacy,Pharmacy
HB BUMETANIDE 0.25MG/ML VIAL,1,1,1,Pharmacy,Pharmacy
Troponin Quant,1,1,1,Laboratory,Laboratory
HB CEFAZOLIN NA 1 GM VIAL,1,1,1,Pharmacy,Pharmacy
PREDNISONE 10MG/1ML ORAL SUSP,1,1,1,Pharmacy,Pharmacy
LD LDH,1,1,1,Laboratory,Laboratory
TITANIUM MATRIX NEURO STRAIGHT PLATE 2 HOLE 9M,1,1,1,Implant,Implant/Supply
HB 5% DEXTROSE/1/2 NORMAL SALINE 1,1,1,1,Pharmacy,Pharmacy
HB REMIFENTANIL 5MG VIAL,1,1,1,Pharmacy,Pharmacy
HB LACTATED RINGERS SOL 100OML A,1,1,1,Pharmacy,Pharmacy
HC CK MB,1,1,1,Laboratory,Laboratory
NS PICC AGE FIVE OR MORE,1,1,1,Procedure,OR Services
WATER FOR INJ IV,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HCHG EVAL INITIAL LEVEL 2 OT HCHG EVAL INITIAL LEVEL 2 OT,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
HC PLS DIVERTER TIP,1,1,1,Supply,Implant/Supply
CUSTOM PACK OPEN HEART,1,1,1,Supply,Implant/Supply
HB CANN RA 18FR VENOUS,1,1,1,Supply,Implant/Supply
SODIUM CHLORIDE 0.9% VIAL 10ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
RANITIDINE INJ 25MG/ML 10ML,1,1,1,Pharmacy,Pharmacy
MAG SF+DX5% INJ 2G/50ML BG,1,1,1,Pharmacy,Drugs Requiring Specific Identification
ROOM E631 9,1,1,1,Room and Board,Room & Board
ROOM E631 8,1,1,1,Room and Board,Room & Board
ENSURE PLUS 8-OZ BTLE (FC),1,1,1,Supply,Pharmacy
HB MEGESTROL 40MG TABLET,1,1,1,Pharmacy,Pharmacy
ROOM SEMI PVT REHAB,1,1,1,Room and Board,Room & Board
HB CATHETER PRFSN DLP PED LI5IN O,1,1,1,Supply,Implant/Supply
HC MOBILITY CURRENT,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
DISP: 10.000 ML; 10 MG/ML; USED NDC QTY: 10.000 PCK OF 10.000 ML VIAL PROPOFQL 10 MG IV EMULSION PROPOFOL 10 MG/ML INTRAVENOUS EMULSION,1,1,1,Pharmacy,Pharmacy
86403006 - WALKING MOVING AROUND,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
LACTULOSE 30ML UM,1,1,1,Pharmacy,Pharmacy
HC CBC WITH PLATELET COUNT,1,1,1,Laboratory,Laboratory
THER PROC-GAIT TRNG EA 15 MIN,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
VENT INITIAL DAY MGMT- LEVL 1,1,1,1,Respiratory Therapy,Respiratory Services
20800280-CALCIUM GLUCONATE 100 MG/ML (10%) SOLN 10 ML VIAL,1,1,1,Pharmacy,Pharmacy
HC PT EVAL 0-15 MIN,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
ELECTROLYTE PANEL (CHEM 4),1,1,1,Laboratory,Laboratory
OR LEV 4 EA ADD MIN,1,1,1,OR / Anesthesia / Recovery Room,OR Services
HB OXYGEN,1,1,1,Respiratory Therapy,Implant/Supply
VENTILATOR-PEDS SUBSEQ DAY,1,1,1,Respiratory Therapy,Respiratory Services
HB CEPAZOLIN NA 1GM VIAL,1,1,1,Pharmacy,Pharmacy
15700322 - WARFARIN 8MG (2 X 4MG) TAB,1,1,1,Pharmacy,Pharmacy
BUPIVACAINE 0.25% SOLN 10 ML VIAL,1,1,1,Pharmacy,Pharmacy
US DPLR CMPL ABD PELVIS SCROTAL,1,1,1,Radiology,Other Diagnostic Services
63901000 - CSF/BODY FLUID CELL CTDIFF,1,1,1,Laboratory,Laboratory
HB SUTURE ABSRB VCL 4-0 PC-5 L27I,1,1,1,Supply,Implant/Supply
XR CHEST SNG VW PORTABLE,1,1,1,Radiology,Radiology
IGG IMMUNOGLOBULIN,1,1,1,Laboratory,Laboratory
CULTURE FNGI MOLD/YEAST PR,1,1,1,Laboratory,Laboratory
HB LISINOPRIL/ZESTRIL 10MG TAB BULK,1,1,1,Pharmacy,Pharmacy
LANSOPRAZOLE 3MG/ML SUSPENSION,1,1,1,Pharmacy,Pharmacy
US ABDOMEN RETROPERITONEAL,1,1,1,Radiology,Other Imaging Services
BASIC MET PANEL CA TOTL,1,1,1,Laboratory,Laboratory
YEAST IDENTIFICATION,1,1,1,Laboratory,Laboratory
ENEMA SET DISP,1,1,1,Supply,Implant/Supply
CATHETER SURG DUPLOCATH 25 L25,1,1,1,Supply,Implant/Supply
27400001 - XR ABDOMEN 1 AP VW PORT,1,1,1,Radiology,Radiology
KIT DRESSING CENTRAL LINE,1,1,1,Supply,Implant/Supply
HB CRAFT 1X3IN SUTURABLE MATRIX REGEN DURAL COL,1,1,1,Implant,Implant/Supply
GEL SUPPORT,1,1,1,Supply,Implant/Supply
58304000 - BRONCHOSCOPY,1,1,1,Procedure,OR Services
HYDROCORTISONE 125MG/ML INJ,1,1,1,Pharmacy,Pharmacy
LEVOTHYROXINE 200 MCG TABS,1,1,1,Pharmacy,Pharmacy
HB TOWEL SURG BLUE L26INXW17IN ST,1,1,1,Supply,Implant/Supply
GENTAMICIN TROUGH,1,1,1,Laboratory,Laboratory
DEXTROSE 10 % IN WATER (D10W) INTRAVENOUS SOLUTION,1,1,1,Pharmacy,Pharmacy
HB ENOXAPARIN SODIUM 30 MG/0.3ML SC SOLN,1,1,1,Pharmacy,Pharmacy
HB SODIUM CHLORIDE 3% NEBULE,1,1,1,Supply,Pharmacy
HB SENNOSIDES 8.6 MG PO TABS,1,1,1,Pharmacy,Pharmacy
BIPAP/CPAP VENT EA ADDL DAY,1,1,1,Respiratory Therapy,Respiratory Services
COENZYME Q10 30 MG CAP,1,1,1,Pharmacy,Pharmacy
ZINC CHLORIDE INJ 1MG/ML 10ML,1,1,1,Pharmacy,Pharmacy
ABO TYPING (BILL),1,1,1,Laboratory,Laboratory
HB LAMICTAL 100MG,1,1,1,Pharmacy,Pharmacy
13294212 - LEVOFLOXACIN 750MG TAB,1,1,1,Pharmacy,Pharmacy
MANGANESE SERUM,1,1,1,Laboratory,Laboratory
27423000 - XR SWALLOW FUNC W/CINE-VIDEO,1,1,1,Radiology,Radiology
SUBSEQ HR NITRIC OXIDE,1,1,1,Plan Benefit,Respiratory Services
HB ACYLCARNITINE,1,1,1,Laboratory,Laboratory
GLUCOSE BLOOD TEST,1,1,1,Laboratory,Laboratory
HB INTRODUCER SET HEMOSTASIS FAST,1,1,1,Supply,Implant/Supply
HB CANNULA PRFSN PED L28CM OD10FR,1,1,1,Supply,Implant/Supply
HB SENNOSIDES 15 MG PO CHEW,1,1,1,Pharmacy,Pharmacy
FIBRIN DEGREDATION PRODUC,1,1,1,Blood Products,Laboratory
HB END TIDAL CO2 MONITORING,1,1,1,Monitoring,Pulmonary Function
HB - VENT CIRCUIT CONV - CHG,1,1,1,Supply,Implant/Supply
FERROUS SULFATE 15 MG IRON (75 MG)/ML ORAL DROPS,1,1,1,Pharmacy,Pharmacy
HB SUTURE NABSORB PRMHND SLK 0 MO,1,1,1,Supply,Implant/Supply
NS FLUSH 10ML IJ,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB CATHETER 4FR 5CM DOUBLE LUMEN,1,1,1,Supply,Implant/Supply
20 GA ARTERIAL LINE CATHETER,1,1,1,Supply,Implant/Supply
HB TRAY CATHETER HEMODIALYSIS 10FR 15CM DUAL LU,1,1,1,Supply,Implant/Supply
OBSERVATION PER HR,1,1,1,Room and Board,Treatment/Observation Room
H XR FLUORO VEN ACC PROC INTRAOP,1,1,1,Radiology,Radiology
HB MASK SMALL W/HEADGEAR FITLIFE,1,1,1,Supply,Implant/Supply
PROTECTOR ULNAR NERVE,1,1,1,Supply,Implant/Supply
HOMOGENIZATION TISSUE,1,1,1,Laboratory,Laboratory
BILE ACIDS TOT,1,1,1,Laboratory,Laboratory
FIBRIN DGRADJ PRODUXS D-DIMER QUAL/SEMIQUAN,1,1,1,Laboratory,Laboratory
HB T4 FREE BY DIALYSIS,1,1,1,Laboratory,Laboratory
HIV1 AG WITH HIV1 & HIV2 A,1,1,1,Laboratory,Laboratory
HB CISATRACURIUM 2MG/ML 1OML VL,1,1,1,Pharmacy,Pharmacy
BETA-2 MICROGLOBULIN,1,1,1,Laboratory,Laboratory
27125000 - CT CHEST W/O CONTRAST,1,1,1,Radiology,CT Scan
OR LEV 4 INI 15 MIN,1,1,1,OR / Anesthesia / Recovery Room,OR Services
HC RADIAL ARTERY KIT,1,1,1,Supply,Implant/Supply
HB FOLEY CATHETER,1,1,1,Supply,Emergency Room
BLOOD ADMINISTRATION - 1 UNIT,1,1,1,Nursing Services,Blood
INSERT PICC CATH >5YRS,1,1,1,Procedure,OR Services
PALIVIZUMAB 100MG INJ,1,1,1,Pharmacy,Drugs Requiring Specific Identification
ACETAMINOPHEN 160 MG/5 ML SUSP 3.75 ML SYRINGE,1,1,1,Pharmacy,Pharmacy
SEVO FIRST 30 MIN,1,1,1,OR / Anesthesia / Recovery Room,Anesthesia
58888000 - HIGH FLOW NASAL CANNULA,1,1,1,Supply,Respiratory Services
PHYS SUBSEQUENT HOSP CARE HIGH,1,1,1,Professional Fee,Prof Fees
FENTANYL (PF) 0.05 MG/ML SOLN,1,1,1,Pharmacy,Drugs Requiring Specific Identification
SYS THERAWASH SILVER BATH,1,1,1,Supply,Implant/Supply
HB TRAY CATH URETHRAL W/O CATH ST,1,1,1,Supply,Implant/Supply
ALTEPLASE 1 MG INJ,1,1,1,Pharmacy,Pharmacy
CATH IV INTRCN SFTY 20GAX1.25I,1,1,1,Supply,Implant/Supply
SILICON SHEET,1,1,1,Supply,Implant/Supply
HB CANN ART 14FR,1,1,1,Supply,Implant/Supply
VENOUS DUPLEX DVT LEG UNIL,1,1,1,Radiology,Other Diagnostic Services
SCREW 5.5 X 35,1,1,1,Implant,Implant/Supply
THROMBIN 20000 UNITS SPRAY KIT,1,1,1,Pharmacy,Pharmacy
OT GROUP,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
HB DRSG SORBAVIEW 3 X 5,1,1,1,Supply,Implant/Supply
PACU ADD 15 MIN,1,1,1,OR / Anesthesia / Recovery Room,Cast/Recovery/Labor Room
DISP: 0.077 EACH; 300 MG; USED NDC QTY: 1.000 PCK OF 100.000 EACH BOTTLE URSODIOL 300 MG CAPSULE,1,1,1,Pharmacy,Pharmacy
EPSTEIN BARR VIRUS TEST PE,1,1,1,Laboratory,Laboratory
RULE OUT VANCOMYCIN RESISTANT,1,1,1,Laboratory,Laboratory
CLINDAMYCIN 18 MG/ML,1,1,1,Pharmacy,Pharmacy
HB PACIFIER WUBBANUB HORSE,1,1,1,Supply,Implant/Supply
PETROLATUM-MINERAL OIL OINT 3.5 G TUBE,1,1,1,Supply,Pharmacy
HB MASK OXYKID PED O2 PENGUIN,1,1,1,Supply,Implant/Supply
COAGULATION TIME ACTIVATED,1,1,1,Laboratory,Laboratory
DIFFERENTIAL (MANUAL),1,1,1,Laboratory,Laboratory
PHOSPHATASE ALKALINE ISOENZYMES,1,1,1,Laboratory,Laboratory
KIT LAP GASTROSTOMY 9 18FR,1,1,1,Supply,Implant/Supply
BARRIER EAKIN SM 839002,1,1,1,Supply,Implant/Supply
HC THROMBOPLASTIN TIME PARTIAL,1,1,1,Laboratory,Laboratory
SUTR ETHIBOND 3 0 RB1 DA X5,1,1,1,Supply,Implant/Supply
14595302 - PREDNISONE PER 5MG TAB (10MG),1,1,1,Pharmacy,Pharmacy
LACTATE (LACTI,1,1,1,Laboratory,Laboratory
CEFEPIME 1 GM PREMIX IVPB,1,1,1,Pharmacy,Pharmacy
POC SODIUM,1,1,1,Monitoring,Laboratory
HB ELECTRODE EKG INF PREWIRED,1,1,1,Supply,Implant/Supply
HC TRANSFUSION BLD/BLD COMPONENTS,1,1,1,Nursing Services,Blood
77071643 - KIT PERC INTRODUCER,1,1,1,Supply,Implant/Supply
SELENIUM INJ 0.04MG/ML 10ML,1,1,1,Pharmacy,Pharmacy
HB WIRE ZINGERLIGHT 0.014,1,1,1,Nursing Services,Implant/Supply
ROOM M369 N,1,1,1,Room and Board,Intensive Care
HB DULOXETINE 30MG CAPSULE,1,1,1,Pharmacy,Pharmacy
LANOLIN OINT 7 G TUBE,1,1,1,Supply,Pharmacy
GENTAMICIN PEAK,1,1,1,Laboratory,Laboratory
HC LOCM 300-399 MG/ML IODINE CONCENTRATION PER ML,1,1,1,Pharmacy,Pharmacy
URINE CULTURE/COLONY COUNT,1,1,1,Laboratory,Laboratory
AMYLASE (AMY),1,1,1,Laboratory,Laboratory
HB POC IONIZED CALCIUM,1,1,1,Monitoring,Laboratory
03600007 - RB 4 WEST ICU SURG,1,1,1,Room and Board,Intensive Care
MIDAZOLAM 5MG/1ML INJ,1,1,1,Pharmacy,Pharmacy
HB NITRIC OXIDE-1 HOUR,1,1,1,Plan Benefit,Pulmonary Function
LEVEL IV-SURG PATH GROSS/MICRO,1,1,1,Laboratory,Laboratory
65 CATH KT PICC DEL W/PASV 5FR,1,1,1,Supply,Implant/Supply
HB ELECTRODE ELECSURG L7.2CM NDL,1,1,1,Supply,Implant/Supply
PT-INR,1,1,1,Laboratory,Laboratory
CEFTOLZN/TAZBCTM PER 75MG INJ,1,1,1,Pharmacy,Pharmacy
PICC LINE INSERT WO PORT >5YR,1,1,1,Procedure,Treatment/Observation Room
SOD PHOSPHATE 15ML 45MM,1,1,1,Pharmacy,Pharmacy
HB AST,1,1,1,Laboratory,Laboratory
PROCHLORPERAZINE 10MG/2ML INJ,1,1,1,Pharmacy,Pharmacy
SOL NACL 0.9PCT PF 50ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HC CORONARY STENT NON COATED,1,1,1,Implant,Implant/Supply
HB PICC INSERTION >/=5 YR OLD,1,1,1,Procedure,OR Services
HB GABAPENTIN 400MG CAPSULE,1,1,1,Pharmacy,Pharmacy
US ABDOMEN,1,1,1,Radiology,Other Imaging Services
HB 5%DEXTROSE/1/2NS+20MEQ KCL/L 1,1,1,1,Pharmacy,Pharmacy
HCHG VITAMIN D 25-HYDROXY HCHG VITAMIN D 25-HYDROXY,1,1,1,Pharmacy,Laboratory
LACTULOSE 15ML,1,1,1,Pharmacy,Drugs Requiring Specific Identification
HB DAUNUBICN CIRAT LIPOSM 2 MG/ML IV INJ,1,1,1,Pharmacy,Pharmacy
OR SURGERY LEVEL 3,1,1,1,OR / Anesthesia / Recovery Room,OR Services
30MM BONE SCREWS,1,1,1,Implant,Implant/Supply
CHLOROTHIAZIDE 250 MG/5 ML SUSP[9525],1,1,1,Pharmacy,Pharmacy
HYDROMORPHONE 1MG/ML INJ.,1,1,1,Pharmacy,Pharmacy
URINARY CATH KIT (SILI),1,1,1,Supply,Implant/Supply
CISATRACURIUM 2 MG/ML SOLN 10 ML VIAL,1,1,1,Pharmacy,Pharmacy
PF SPECIAL STAINS GRP II,1,1,1,Professional Fee,Laboratory
HC ANES US GUIDE VASCULAR ACCESS,1,1,1,Radiology,Treatment/Observation Room
HB PANCREATIC AMYLASE,1,1,1,Laboratory,Laboratory
HB DSG FILM MPTL ANTIMICROBIAL 10X12CM,1,1,1,Supply,Implant/Supply
HYALURONIDASE 150 UNIT/ML SOLN 1 ML VIAL,1,1,1,Pharmacy,Pharmacy
PROBENECID TAB 500MG,1,1,1,Pharmacy,Pharmacy
HIGH FLOW THERAPY,1,1,1,Respiratory Therapy,Implant/Supply
HC EMER DEPT HIGH SEVERITY&THREAT FUNCJ,1,1,1,Other,Emergency Room
HB DRESSING WND MEPIFORM SIL W4IN,1,1,1,Supply,Implant/Supply
BILIRUBIN UNCONJUGATED,1,1,1,Laboratory,Laboratory
HB DRAPE CV STERILE UNFENESTRATED,1,1,1,Supply,Implant/Supply
HB DRSG SPNGE QUIKCLOT HEMOSTATIC,1,1,1,Supply,Implant/Supply
MORPH SULF 10MG-2MG CARPUJECT,1,1,1,Pharmacy,Drugs Requiring Specific Identification
HC THERAPY INF INITIAL 1ST HR,1,1,1,Nursing Services,Emergency Room
HB PACKING SINUS KENNEDY REGULAR,1,1,1,Supply,Implant/Supply
LACTOSE FREE NUTRITION LIQD,1,1,1,Pharmacy,Pharmacy
PROTHROMBIN TIME (PT) ,1,1,1,Laboratory,Laboratory
CUSTOM PACK MINOR GENERAL,1,1,1,Supply,Implant/Supply
BACITRACIN 50MU VL,1,1,1,Pharmacy,Pharmacy
59706000 - 480 LOW VOL MRI TUBING,1,1,1,Supply,Implant/Supply
HB CATHETER OXIMETRY 5.5FR X 15CM,1,1,1,Supply,Implant/Supply
CULTURE BLOOD BACTER,1,1,1,Laboratory,Laboratory
CORTISOL TOTAL,1,1,1,Laboratory,Laboratory
LABETAL 20ML IJ,1,1,1,Pharmacy,Pharmacy
