Original Description,Normalized Description,Charge Class,Flag,Feature 1,Feature 2,Feature 3,Feature 4
ISOSORBIDE DINITRATE 20,isosorbide dinitrate 20,Pharmacy,RETROSPECTIVE,isosorbide,dinitrate, ,
STERILE WATER TPN SOLN 1 000 ML EXTEMP,sterile water total_parenteral_nutrition solution 1 000_ml extemp,Diluent / Flush / Irrigant,RETROSPECTIVE,water,tpn,000_ml,
ISOSORBIDE DINITRATE 10,isosorbide dinitrate 10,Pharmacy,RETROSPECTIVE,isosorbide,dinitrate, ,
VENIPUNCTURE,venipuncture,Nursing Services,RETROSPECTIVE,venipuncture,,,
LIDOCAINE (PF) 20 MG/ML(2%) SOLN 5 ML VIAL,lidocaine partial_fill 20_mg/ml 2% solution 5_ml vial,Pharmacy,RETROSPECTIVE,vial,partial_fill,soln,
ALCAINE/OPHTHAINE 15ML,alcaine/ophthaine 15_ml,Pharmacy,RETROSPECTIVE,alcaine,ophthaine,15_ml,
SUT ABS 2 - 0 CT - 1 L27,suture abs 2 0 computed_tomography 1 l27,Supply,RETROSPECTIVE,sut, , ,
HC R&B INTERMEDIA TEICU,room_and_board intermediate telemetry_intensive_care_unit,Room and Board,RETROSPECTIVE,intermedia,r&b,teicu,
EPHEDRINE 25MG/5ML INJ (PREFILL SYR),ephedrine 25_mg/5_ml injection prefill syringe,Pharmacy,RETROSPECTIVE,syringe,inj, ,
CYCLOMYDRIL 2ML,cyclomydril 2_ml,Pharmacy,RETROSPECTIVE,2_ml,cyclomydril, ,
NACL 4 MEQ/ML SOLN 30 ML VIAL,sodium_chloride 4_meq/ml solution 30_ml vial,Pharmacy,RETROSPECTIVE,vial,soln,nacl,
PKU NEONATAL SCREEN,phenylketonuria neonatal screen,Laboratory,RETROSPECTIVE,neonatal,pku,screen,
TRANEXAMIC AC 1000MG A,tranexamic acid 1000_mg a,Pharmacy,RETROSPECTIVE,tranexamic,ac,1000_mg,
ASPIRIN 81 MGCHEW 750 EACH BLIST PACK,aspirin 81_mgchew 750 each blister pack,Pharmacy,RETROSPECTIVE,pack,biblist,aspirin,
PHYTONADIONE 1 MG/0.5ML SOLN 0.5 ML SYRINGE,phytonadione 1_mg/0.5_ml solution 0.5_ml syringe,Pharmacy,RETROSPECTIVE,syringe,soln, ,
SHEATH STANDARD IK NO WIRE 5FR 10CM,sheath standard ik nitric_oxide wire 5fr 10cm,Supply,RETROSPECTIVE,no,wire,standard,
BMP TOTAL CALCIUM,basic_metabolic_panel total calcium,Laboratory,RETROSPECTIVE,total,calcium,bmp,
COMPREH METABOLIC PANEL,comprehend metabolic panel,Laboratory,RETROSPECTIVE,metabolic,panel,comprehend,
CHOLECALCIFEROL 1000 UNI,cholecalciferol 1000_units,Pharmacy,RETROSPECTIVE,cholecalciferol,1000_units, ,
BLADE SAW 2 CUT STRL,blade saw 2 cut sterile,Supply,RETROSPECTIVE,strl, , ,
SUT VCL 1 CT UD BR OS6,suture vicryl 1 computed_tomography ud br os6,Supply,RETROSPECTIVE,ud,sut, ,
DEVICE TORQUE,device torque,Supply,RETROSPECTIVE,device,torque, ,
RETICULOCYTE AUTOMATED,reticulocyte automated,Laboratory,RETROSPECTIVE,reticulocyte,automated, ,
HC ASPIRATION CATHETER,aspiration catheter,Supply,RETROSPECTIVE,aspiration,catheter, ,
HC LIPID PANEL,lipid panel,Laboratory,RETROSPECTIVE,lipid,panel, ,
HC CBC,complete_blood_count,Laboratory,RETROSPECTIVE,cbc, , ,
CBC,complete_blood_count,Laboratory,RETROSPECTIVE,cbc, , ,
HC HEMOGRAM CBC WITHOUT DIFF,hemogram complete_blood_count without differential,Laboratory,RETROSPECTIVE,cbc,without,hemogram,
BILIRUBIN TOTAL BODY FLUID,bilirubin total body fluid,Laboratory,RETROSPECTIVE,body,bilirubin,total,
XRAY ABDOMEN (KUB) SINGLE VIEW,x-ray abdomen kidney_ureter_bladder single view,Radiology,RETROSPECTIVE,single,,,
XRAY CHEST SINGLE VIEW FRONTAL,x-ray chest single view front,Radiology,RETROSPECTIVE,front,chest,single,
CATH VERTEBRAL 4FR 100CM,catheter vertebral 4fr 100cm,Supply,RETROSPECTIVE,vertebral,100cm,cath,
CEFAZOLIN 1 G VL,cefazolin 1 gram vial,Pharmacy,RETROSPECTIVE,vl,cefazolin,gas,
HC SLCTV CATH INTRNL CAROTID ART ANGIO INTRCRNL ART,selective catheter internal carotid arteries angiogram intracranial arteries,Radiology,RETROSPECTIVE,cath,artificial, ,
CAF.CIT 20MG/ML,caffeine citrate 20_mg/ml,Pharmacy,RETROSPECTIVE,20_mg/ml,caf.cit, ,
NITROGLYCERIN 200 MCG/ML 10 ML SYRINGE,nitroglycerin 200 mcg/ml 10_ml syringe,Pharmacy,RETROSPECTIVE,mcg,ml,10_ml,
HC GUIDEWIRE PTCA,guidewire ptca,Supply,RETROSPECTIVE,ptca,guidewire, ,
IOPAMIDOL PER 1 ML,iopamidol per 1_ml,Pharmacy,RETROSPECTIVE,iopamidol,1_ml,per,
POTASSIUM CHLORIDE 2 MEQ/ML SOLN 250 ML GLASS CONT,potassium chloride 2_meq/ml solution 250_ml glass container,Pharmacy,RETROSPECTIVE,250_ml,potassium,container,
INSULIN REGULAR 100 UNIT,insulin regular 100_units,Pharmacy,RETROSPECTIVE,100_units,regular,insulin,
MAGNESIUM HYDROXIDE 400,magnesium hydroxide 400,Pharmacy,RETROSPECTIVE,hydroxide,magnesium, ,
MULTIVITAMIN WITH IRON 0.5 ML LIQD 0.5 ML SYRINGE,multivitamin with iron 0.5_ml liquid 0.5_ml syringe,Pharmacy,RETROSPECTIVE,syringe,liqd,iron,
POLYETHYLENE GLYCOL 3350-NF POWDER 17G,polyethylene glucol 3350 non_formulary powder 17_gm,Pharmacy,RETROSPECTIVE,polyethylene, , ,
VASOPRESSIN 20UNITS/ML INJ,vasopressin 20_units/ml injection,Pharmacy,RETROSPECTIVE,20_units/ml,inj,vasopressin,
HC ABO TYPING,abo typing,Laboratory,RETROSPECTIVE,typing,abo, ,
HC VENOUS DUPLEX UNILATERAL,venous duplex unilateral,Radiology,RETROSPECTIVE,venous,duplex,unilateral,
HC DX GUIDEWIRE RAD,diagnostic guidewire radiology,Supply,RETROSPECTIVE,raad,guidewire,dx,
B COMPLEX-VITAMIN  C-FOLI,b complex vitamin cap folic,Pharmacy,RETROSPECTIVE,complex,board,folic,
POTASSIUM PHOSPHATE 0.6 MMOL/ML 50 ML SYRINGE,potassium phosphate 0.6 mmol/ml 50_ml syringe,Pharmacy,RETROSPECTIVE,50_ml,ml,potassium,
ELECTROLYTE PANEL (CHEM 4),electrolyte panel chemistry 4,Laboratory,RETROSPECTIVE,chemistry,electrolyte,panel,
FLORA BABY,flora baby,Supply,RETROSPECTIVE,baby,flora, ,
HC BLOOD TYPING RH (D),blood typing rhesus daily,Laboratory,RETROSPECTIVE,rh,dipped,blood,
UA W O MICRO AUTO,urinalysis with oxygen miscroscopic automated,Laboratory,RETROSPECTIVE,ua,micro,o,
HC LEVEL-1 ICU,level 1 intensive_care_unit,Room and Board,RETROSPECTIVE,icu,level, ,
FERROUS SULFATE 325 (65,ferrous sulfate 325 65,Pharmacy,RETROSPECTIVE,ferrous,sulfate, ,
NITROGLYCERIN IN 5 % DEXTROSE 50 MG/250 ML (200 MCG/ML) SOLN 250 ML BOTTLE,nitroglycerin in 5% dextrose 50_mg/250_ml 200 mcg/ml solution 250_ml bottle,Pharmacy,RETROSPECTIVE,mcg,ml,soln,
MAGNESIUM CITRATE SOLN 300ML,magnesium citrate solution 300_ml,Pharmacy,RETROSPECTIVE,300_ml,soln,magnesium,
HC GUIDING CATHETERS,guiding catheters,Supply,RETROSPECTIVE,catheters,guiding, ,
HEPARIN 5 000UNITS/ML INJ,heparin 5 000_units/ml injection,Pharmacy,RETROSPECTIVE,heparin,inj,000_units/ml,
NITROGLYCERIN 0.4 MG SUBL 25 EACH BOTTLE,nitroglycerin 0.4_mg sublingual 25 each bottle,Pharmacy,RETROSPECTIVE,bottle, , ,
ABSOLUTE RETICS,absolute retics,Laboratory,RETROSPECTIVE,retics,absolute, ,
CAR SEAT 60 MIN,care seat 60 minutes,Nursing Services,RETROSPECTIVE,seat,min,car,
SODIUM ACETATE 2 MEQ/ML SOLN 20 ML EXTEMP,sodium acetate 2_meq/ml solution 20_ml extemp,Pharmacy,RETROSPECTIVE,20_ml,soln,sodium,
ABO GROUP,abo group,Laboratory,RETROSPECTIVE,group,abo, ,
PFC S C/R FEM LT SZ5,pfc sigma cap/r femoral left size 5,Implant,RETROSPECTIVE,room, , ,
CAR SEAT ADDL 30,care seat additional 30,Nursing Services,RETROSPECTIVE,seat,addl,car,
POTASSIUM CHLORIDE 2MEQ/ML INJ (ADDITIVE),potassium chloride 2_meq/ml injection additive,Pharmacy,RETROSPECTIVE,potassium,chloride,inj,
DAT-IGG,direct_antiglobulin_test immunoglobulin,Laboratory,RETROSPECTIVE,diet_as_tolerated,iggt, ,
FAT EMULSION 20 % EMUL 50 ML SYRINGE,fat emulsion 20% emulsion 50_ml syringe,Pharmacy,RETROSPECTIVE,50_ml,syringe,emul,
HC SLCTV CATHJ 3RD+ ORD SLCTV THRC/BRCH/CPHLC BRNCH,selective catheterization 3rd and order selective thoracic/brachial/cephalic branch,Radiology,RETROSPECTIVE,3rd,cphlc,cathj,
CYCLOPENTOLATE-PHENYLEPHRINE 0.2-1 % SOLN 2 ML BOTTLE,cyclopentolate phenylephrine 0.2 1% solution 2_ml bottle,Pharmacy,RETROSPECTIVE,2_ml,soln,bottle,
HC TELEMETRY MONITOR DAY,telemetry monitor day,Monitoring,RETROSPECTIVE,telemetry,monitor,day,
US ECHOENCEPHGRM PEDI,ultrasound echoencephalogram pediatric,Radiology,RETROSPECTIVE,pedi,echoencephgrm,us,
POTASSIUM ACETATE 2 MEQ/ML SOLN 20 ML EXTEMP,potassium acetate 2_meq/ml solution 20_ml extemp,Pharmacy,RETROSPECTIVE,potassium,soln,20_ml,
HC DIAGNOSTIC CATHETER,diagnostic catheter,Supply,RETROSPECTIVE,catheter,diagnostic, ,
OR PER MIN LEVEL 2,operation_room per minutes level 2,OR / Anesthesia / Recovery Room,RETROSPECTIVE,min,per,level,
HEPARIN (PORCINE) PER 1000 UNITS,heparin porcine per 1000_units,Pharmacy,RETROSPECTIVE,heparin,1000_units,per,
SODIUM PHOSPHATE 3 MMOLE,sodium phosphate 3 mmole,Pharmacy,RETROSPECTIVE,phosphate,mmole,sodium,
HC P9059 FFP FRZ IN 8-24 HRS EA UNIT,p9059 fresh_frozen_plasma frozen in 8 24 hours each unit,Blood Products,RETROSPECTIVE,hrs,unit, ,
BLOOD BAS (POINT OF CARE),blood gas point of care,Monitoring,RETROSPECTIVE,point,blood,care,
IRON  ELEMENTAL 15MG/ML,iron elemental 15_mg/ml,Pharmacy,RETROSPECTIVE,elemental,iron,15_mg/ml,
XR CHEST 1 V,x-ray chest 1 view,Radiology,RETROSPECTIVE,chest,xr,v,
ECHO TTE W/DOPPLER  COMPLETE,echocardiogram transesophageal_echocardiogram with doppler complete,Cardiology,RETROSPECTIVE,ttase,echocardiogram,doppler,
ANGIOSEAL 6FR ORDER INCREMENT OF 10-EA,angioseal 6fr order increment of 10 each,Supply,RETROSPECTIVE, , , ,
BACITRACIN 50MU VL,bacitracin 50mu vial,Pharmacy,RETROSPECTIVE,50mu,bacitracin,vl,
SPIROMETER VOL 4 LTR BA,spirometer volume 4 liter bag,Supply,RETROSPECTIVE,vol,ba, ,
PTT (PARTIAL THROMBOPLASTIN TIME),partial_prothrombaplastin_time partial thromboplastin time,Laboratory,RETROSPECTIVE,partial,ptt,thromboplastin,
HC HOSPITAL OUTPATIENT CLINIC VISIT,hospital outpatient clinic visit,Other,RETROSPECTIVE,clinic,hospital,visit,
DNIU NEO LEVEL 3 MEDIUM,dniu neonatal level 3 medium,Room and Board,RETROSPECTIVE,neonatal,medium,level,
HC SLCTV CATH VERTEBRAL ART ANGIO VERTEBRAL ARTERY,selective catheter vertebral arteries angiogram vertebral artery,Radiology,RETROSPECTIVE,cath, , ,
VENT SUPPORT EA ADD DAY,ventilator support each additional day,Respiratory Therapy,RETROSPECTIVE,vent,support,day,
ECHO EXAM OF HEAD,echocardiogram examination of head,Radiology,RETROSPECTIVE,echocardiogram,exam,head,
GAIT TRAINING 15 MIN P,gait training 15 minutes powder,PT / OT / Speech Therapy,RETROSPECTIVE,training,min, ,
INS TIB 5X12.5 RP CRV,insert tibial 5x12.5 rp crv,Implant,RETROSPECTIVE,rp,tfiib,infs,
GLYCERIN CHILD,glycerin child,Pharmacy,RETROSPECTIVE,glycerin,child, ,
PEDIATRIC TRACE MINERALS SOLN 10 ML VIAL,pediatric trace minerals solution 10_ml vial,Pharmacy,RETROSPECTIVE,vial,10_ml,soln,
CRP-HIGH SENSITIVITY,c_reactive_protein high sensitivity,Laboratory,RETROSPECTIVE,high,carp,sensitivity,
HC INDIRECT ANTI-GLOB,indirect antiglobulin,Laboratory,RETROSPECTIVE,indirect,anti,glob,
COMPLETE CBC AUTOMATED,complete complete_blood_count automated,Laboratory,RETROSPECTIVE,cbc,complete,automated,
ERYTHROMYCIN 0.5 % OINT 1 G PACKET,erythromycin 0.5% ointment 1 gram packet,Pharmacy,RETROSPECTIVE,gas, , ,
HC TRANSFUSION BLD/BLD COMPONENTS,transfusion blood/blood components,Nursing Services,RETROSPECTIVE,transfusion,blood,components,
HC LOCM 300-399 MG/ML IODINE CONCENTRATION PER ML,low_osmolar_contrast_material 300 399_mg/ml iodine concentration per_ml,Pharmacy,RETROSPECTIVE,399_mg/ml,locm,iodine,
BASIC ANES SERVICES,basic anesthesia services,OR / Anesthesia / Recovery Room,RETROSPECTIVE,services,anesthesia,basic,
HEMOGRAM,hemogram,Laboratory,RETROSPECTIVE,hemogram, , ,
AMINO ACIDS (TROPHAMINE) 10 % SOLN 500 ML GLASS CONT,amino acids trophamine 10% solution 500_ml glass container,Pharmacy,RETROSPECTIVE,500_ml,container,soln,
COMP PATELLAR 41MM,component patellar 41_mm,Implant,RETROSPECTIVE,comp,41mm,patellar,
HC IV PUSH EA AD SEQ SM DRG ER,intravenous push each additional sequence same drug emergency_room,Nursing Services,RETROSPECTIVE,push,ad,small,
HC CT HEAD/BRN C-MATRL,computed_tomography head/brain cap matrinlineal,Radiology,RETROSPECTIVE,brn,head,ct,
MAGNESIUM HYDROXIDE 30ML SUSP,magnesium hydroxide 30_ml suspension,Pharmacy,RETROSPECTIVE,susp,30_ml,hydroxide,
MULTIVITAMIN WITH IRON 0.25 ML LIQD 0.25 ML SYRINGE,multivitamin with iron 0.25_ml liquid 0.25_ml syringe,Pharmacy,RETROSPECTIVE,syringe,liqd,iron,
BASIC OR SERVICES,basic operation_room services,OR / Anesthesia / Recovery Room,RETROSPECTIVE,services,or,basic,
INSULIN LISPRO 100 UNIT/,insulin lispro 100_unit,Pharmacy,RETROSPECTIVE,lispro,100_unit/,insulin,
HC TCAT PRM OCCLUSION/EMBOLIZATION PRQ CNS,transcatheter permanent occlusion/embolication percutaneous central_nervous_sysyem,Radiology,RETROSPECTIVE,tcat,prm,occlusion,
BASIC POST OP SERVICES,basic post operative services,OR / Anesthesia / Recovery Room,RETROSPECTIVE,services,post,op,
CMPNT FEM PRCT CR RT S,component femoral prct cr respiratory_therapy sigma,Implant,RETROSPECTIVE,rt, , ,
POLYETHENE GLYC 17GM P,polyethylene glycol 17_gm powder,Pharmacy,RETROSPECTIVE,glyc,polyethylene,17_gm,
TETRACAINE 0.5 % SOLN 15 ML BOTTLE,tetracaine 0.5% solution 15_ml bottle,Pharmacy,RETROSPECTIVE,soln,bottle,15_ml,
HC THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG,therapist prophylactic/diagnostic injection each sequential intravenous push subsequent/drug,Nursing Services,RETROSPECTIVE,push,ther,iv,
POTASSIUM CHLORIDE 10 ME,potassium chloride 10_meq,Pharmacy,RETROSPECTIVE,potassium,chloride, ,
HC COR MI SUB TOT BMS THR OTHR,coronary minutes sub total bms through other,Radiology,RETROSPECTIVE,therapy,total,mi,
POTASSIUM CHLORIDE SA 20,potassium chloride slow_action 20,Pharmacy,RETROSPECTIVE,potassium,chloride,sa,
HC COMPREHENSIVE PANEL,comprehensive panel,Laboratory,RETROSPECTIVE,comprehensive,panel, ,
HC THER PROPH/DX NJX IV PUSH SINGLE/1ST SBST/DRUG,therapist prophylactic/diagnostic injection intravenous push single/1st subsequent/drug,Nursing Services,RETROSPECTIVE,push,ther,iv,
HC THROMBOLYSIS ARTERIAL INFUSION W/IMAGING INIT TX,thrombolysis arterial infusion with imaging initial treatment,Radiology,RETROSPECTIVE,arterial,infusion,tx,
EVALUATION OT,evaluation occupational_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,ot,evaluation, ,
HC DISCHARGE VISIT,discharge visit,Professional Fee,RETROSPECTIVE,discharge,visit, ,
SOLUTION IRR AQLT 0.9%,solution irrigation aqlt 0.9%,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,irr,solution,
HC POCT ACTIVATD CLOTTING TIME,point_of_care_testing activated clotting time,Laboratory,RETROSPECTIVE,clotting,poct,activated,
HC IV PUSH EA AD NEW DRUG ER,intravenous push each additional new drug emergency_room,Nursing Services,RETROSPECTIVE,push,ad,iv,
HC TCAT THER EMBOLIZATION ANY METH RS&I,transcatheter therapist embolication any method radiology_supervision_and_interpretation,Radiology,RETROSPECTIVE,ther, , ,
HC CARD REHAB EVALUATION INPT,cardiac rehabilitation evaluation inpatient,Cardiology,RETROSPECTIVE,rehab,evaluation,card,
AUDIT EVOKED POTENTIAL LIMITED,auditory evoked potential limited,PT / OT / Speech Therapy,RETROSPECTIVE,audit,limited,evoked,
THER ACT PER 15,therapist activity per 15,PT / OT / Speech Therapy,RETROSPECTIVE,act,ther,per,
EVALUATION PT,evaluation physical_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,evaluation,pt, ,
HC THERAPY INF INITIAL 1ST HR,therapy infusion initial 1st hour,Nursing Services,RETROSPECTIVE,therapy,inf,hr,
HC EKG ROUTINE,electrocardiogram routine,Cardiology,RETROSPECTIVE,ekg,routine, ,
MRI-BRAIN W/O CNTRST,magnetic_resonance_imagery brain without contrast,Radiology,RETROSPECTIVE,brain,cntrst,without,
INTRA-PULM SURFACTANT ADMIN,intra pulmonary surfactant administration,Respiratory Therapy,RETROSPECTIVE,pulm,surfactant,administration,
EVALUATION IV PT,evaluation intravenous physical_therapy,Nursing Services,RETROSPECTIVE,evaluation,iv,pt,
HC PROTHROMBIN,prothrombin,Laboratory,RETROSPECTIVE,prothrombin, , ,
632A,632a,Room and Board,RETROSPECTIVE,632a, , ,
DNIU NEC LEVEL 4 HIGH,dniu nec level 4 high,Room and Board,RETROSPECTIVE,high,level, ,
HC 3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION,3 rendering with interpretation_&_postprocedure differential work station,Cardiology,RETROSPECTIVE,diff, , ,
HC EMER DEPT HIGH SEVERITY&THREAT FUNCJ,emergency department high severity&threat funcj,Other,RETROSPECTIVE,high, , ,
NEUROMUS PER 15,neuromuscular per 15,PT / OT / Speech Therapy,RETROSPECTIVE,per,neuromus, ,
HC PHASE 1 EXERCISE,phase 1 exercise,Cardiology,RETROSPECTIVE,phase,exercise, ,
HC LEFT HEART CATH,left heart catheter,Cardiology,RETROSPECTIVE,heart,cath,left,
HC HEMOSTASIS PATCH,hemostasis patch,Supply,RETROSPECTIVE,hemostasis,patch, ,
HC CK MB,creatinine_kinase mb,Laboratory,RETROSPECTIVE,cack,mb, ,
HC CHEST 1 VIEW PA OR AP ONLY,chest 1 view posterior_anterior operation_room anterior_posterior only,Radiology,RETROSPECTIVE,chest,view, ,
HC ECHOW PW CW&CF DOPPLER,echocardiogram pulsed_waved cw&cf doppler,Cardiology,RETROSPECTIVE,doppler,echow,pw,
HC PT,physical_therapy,Laboratory,RETROSPECTIVE,pt, , ,
HC CORONARY STENT NON COATED,coronary stent non coated,Implant,RETROSPECTIVE,stent,non,coated,
HC CT ANGIOGRAPHY HEAD W/CONTRAST/NONCONTRAST,computed_tomography angiography head with contrast/noncontrast,Radiology,RETROSPECTIVE,angiography,ct,noncontrast,
HC TCD STD ICRA ART EMBOLI DETCJ W/O IV MBUBB NJX,transcranial standard intracranial arteries emoli detection without intravenous microbubble injection,Radiology,RETROSPECTIVE,without,iv,std,
HC ANESTHESIA C 4 1/4 HR,anesthesia cap 4 1/4 hour,OR / Anesthesia / Recovery Room,RETROSPECTIVE,anesthesia,hr, ,
HC DUP-SCAN XTR VEINS COMPL BI STD,duplex scan extremity veins complete bilateral standard,Radiology,RETROSPECTIVE,std,scan, ,
HC RTRVL INTRVAS VC FILTR W/WO ACS VSL SELXN RS&I,retreval intravascular vena_cava filter with without access vessel selxn radiology_supervision_and_interpretation,Radiology,RETROSPECTIVE,filter, , ,
HC THER PROPH/DX NJX EA SEQL IV PUSH SBST/DRUG FAC,therapist prophylactic/diagnostic injection each sequential intravenous push subsequent/drug facility,Nursing Services,RETROSPECTIVE,push,ther,iv,
LACTATED RINGERS 1000,lactated ringers 1000,Pharmacy,RETROSPECTIVE,ringers,lactated, ,
POST OP PER MINUTE,post operative per minute,OR / Anesthesia / Recovery Room,RETROSPECTIVE,post,op,minute,
ANESTH PER MINUTE,anesthesia per minute,OR / Anesthesia / Recovery Room,RETROSPECTIVE,anesthyl,minute,per,
DEXAMETH NA PHOS 10 MG,dexamethasone sodium phosphate 10_mg,Pharmacy,RETROSPECTIVE,10_mg,phos,dexameth,
BANDAGE MTRX NS 5 YD 6I,bandage matrix nonsterile 5 yard 6i,Supply,RETROSPECTIVE,ns, , ,
TENSOR 6 IN X-LENGTH,tensor 6 in x length,Supply,RETROSPECTIVE,x,length,tensor,
OXYGEN BLOCK TIME,oxygen block time,Respiratory Therapy,RETROSPECTIVE,block,oxygen,time,
NEC TRANSPORT SVC,nec transport service,Other,RETROSPECTIVE,nec,transport,svc,
CYSTEINE (L-CYSTEINE) 50 MG/ML SOLN 50 ML EXTEMP,cysteine l cysteine 50_mg/ml solution 50_ml extemp,Pharmacy,RETROSPECTIVE,50_ml,soln, ,
VENT SUPPORT INITIAL DAY,ventilator support initial day,Respiratory Therapy,RETROSPECTIVE,vent,initial,support,
CPAP VENT INIT & MANAGEMENT,continuous_positive_airway_pressure ventilation initial & management,Respiratory Therapy,RETROSPECTIVE,vent,management,cpap,
TROPHAMINE 10 % SOLN 500 ML GLASS CONT,trophamine 10% solution 500_ml glass container,Pharmacy,RETROSPECTIVE,container,soln,500_ml,
MAGNESIUM SULFATE 50 MG/ML 50 ML SYRINGE,magnesium sulfate 50_mg/ml 50_ml syringe,Pharmacy,RETROSPECTIVE,50_ml,syringe,magnesium,
AG DETECT NOS EIA MULTI STEP EACH,antigen detection not otherwise specified EIA multiple step each,Laboratory,RETROSPECTIVE,Antigen,Detection,,
BRONCHOSCOPY,bronchoscopy,Procedure,RETROSPECTIVE,bronchoscopy,,,
C-ARM PAIN MANAGEMENT,C-arm pain management,PT / OT / Speech Therapy,RETROSPECTIVE,management,pain,arm,
CELL COUNTAND DIFF BODY FLUID,cell count and differential body fluid,Laboratory,RETROSPECTIVE,cell,body,diff,fluid
CHEST PT AND PD,chest physiotherapy and postural drainage,Respiratory Therapy,RETROSPECTIVE,pbds,chest,pt,
CHLORHEXIDINE 0.12% SOLN,chlorhexidine 0.12% solution,Pharmacy,RETROSPECTIVE,0.12%,chlorhexidine,soln,
CLIP STANDARD RIGHT ANGEL,clip standard right angle,Supply,RETROSPECTIVE,right,angel,clip,standard
CT HEAD OR BRAIN W/O CONTRAST,computed_tomography head operating_room brain without contrast,Radiology,RETROSPECTIVE,head,or,ct,brain
D-DIMER QUANT,d dimer quantitative,Laboratory,RETROSPECTIVE,quant,dimer,daily,
01855002 - RB 1MICU MEDICAL,room_and_board medical intestive care unit medical,Room and Board,RETROSPECTIVE,medical,room_and_board,1micu,
03400001 - RB 5 MAIN MS SEMI-PVT,room_and_board 5 main semi private,Room and Board,RETROSPECTIVE,room_and_board,private,,
03500001 - RB 4 MS INTERMED CCU,room_and_board 4 intermedial critical_care_unit,Room and Board,RETROSPECTIVE,critical_care_unit,morphine_sulfate,room_and_board,intermedial
04500010 - EMER GSH CRIT CARE 30-74MIN,emergency gsh critical care 30-74min,Other,RETROSPECTIVE,critical,emergency,care,
06500001 - POC BS GLUCOSE 4E TELE (GS),point_of_care blood_sugar glucose 4e telemetry,Monitoring,RETROSPECTIVE,point_of_care,telemetry,glucose,
06600001 - POC BS GLUCOSE 4W ICU (GS),point_of_care blood_sugar glucose 4w intensive_care_unit general surgery,Monitoring,RETROSPECTIVE,point_of_care,intensive_care_unit,glucose,
10F CORPAK ULT-LITE SB7 209551,10 corpak ultra liter sb7 209551,Supply,RETROSPECTIVE,liter,ultra,sb7,corpak
11192002 - AMMONIUM LACTATE LOTION 225GM,ammonium lactate lotion 225_gm,Pharmacy,RETROSPECTIVE,225_gm,lactate,lotion,ammonium
11395212 - BENGAY GREASELESS CREAM,bengay greaseless cream,Pharmacy,RETROSPECTIVE,bengay,greaseless,cream,
11435002 - BISACODYL SUPP.RECT 10MG,bisacodyl suppository rectal 10_mg,Pharmacy,RETROSPECTIVE,suppository,bisacodyl,rect,10_mg
11603152 - CARBXYMTHYLCELLLS .5%BX/30,carboxymethylcellulose 0.5% box/30,Pharmacy,RETROSPECTIVE,carboxymethylcellulose,0.5%bx/30,,
11791262 - CODLIVEROIL/ZINC OXD OINT113GM,cod_liver_oil/zinc_oxide ointment 113_grams,Pharmacy,RETROSPECTIVE,codliveroil,oxide,oint113_gm,zinc
12037212 - PERFLUTREN LIPID MICROSPH/ML,perflutren lipid microspheres per ml,Pharmacy,RETROSPECTIVE,perflutren,ml,lipid,microsph
12563192 - FLUTICASONE 0.05% NASAL  16GM,fluticasone 0.05% nasal 16_grams,Pharmacy,RETROSPECTIVE,fluticasone,0.05%,nasal,16_gm
12737152 - DXTMPHAN-GUIFENSIN 30/600MG TB,dxtmphan-guaifenesin 30/600_mg tab,Pharmacy,RETROSPECTIVE,30/600_mg,tube,guaifenesin,dxtmphan
12820632 - HEPARIN/1000UN (5000/ML)1ML VL,heparin/1000units 5000/ml 1_ml vial,Diluent / flush / Irrigant,RETROSPECTIVE,vial,5000/ml,1_ml,heparin/1000un
12882012 - HYDROPHOR OINTMENT 454GM,hydrophor ointment 454_gm,Pharmacy,RETROSPECTIVE,hydrophor,454_gm,ointment,
13255012 - LACTINEX-ACIDOPHILUS,lactinex acidophilus,Pharmacy,RETROSPECTIVE,acidophilus,lactinex,,
13295252 - LIDOCAINE 1% W/EPI 1:100000 30,lidocaine 1% with epinephrine 1:100000,Pharmacy,RETROSPECTIVE,epic,1%,lidocaine,
13690412 - NATURAL TEARS LUBRICANT 15ML,natural tears lubricant 15_ml,Supply,RETROSPECTIVE,lubricant,tears,natural,15_ml
14382113 - PHARM THERAPEUTIC DRUG MONITOR,pharmacy therapeutic drug monitoring,Laboratory,RETROSPECTIVE,therapeutic,monitoring,drug,pharmacy
14382119 - PHARM ANTICOAG COMP CONSULT,pharmacist anticoagulation computer consultation,Professional Fee,RETROSPECTIVE,anticoagulant,consult,compressors,pharmacy
14382121 - PHARMACY TDM COMP CONSULT,pharmacy tdm compounding consult,Pharmacy,RETROSPECTIVE,compressors,consult,tdm,pharmacy
14987242 - SODIUM CITRATE SOLN 4% 3ML,sodium citrate solution 4% 3_ml,Pharmacy,RETROSPECTIVE,solution,citrate,3_ml,sodium
15278002 - MULTIVITAMINS THER W-MINERALS,multivitamins therapuetic with minerals,Pharmacy,RETROSPECTIVE,therapist,minerals,multivitamins,
